Clade,Host,Accession,Group
Asian SEA2a,Dog,DQ666289,Carnivore
Asian SEA2a,Dog,DQ666290,Carnivore
Asian SEA2a,Dog,DQ866105,Carnivore
Asian SEA2a,Dog,DQ866106,Carnivore
Asian SEA2a,Dog,DQ866108,Carnivore
Asian SEA2a,Dog,DQ866109,Carnivore
Asian SEA2a,Dog,DQ866110,Carnivore
Asian SEA2a,Dog,DQ866112,Carnivore
Asian SEA2a,Dog,DQ866116,Carnivore
Asian SEA2a,Dog,DQ866119,Carnivore
Asian SEA2a,Dog,EU086182,Carnivore
Asian SEA2a,Dog,EU086183,Carnivore
Asian SEA2a,Dog,EU159386,Carnivore
Asian SEA2a,Dog,EU828653,Carnivore
Asian SEA2a,Dog,FJ561726,Carnivore
Asian SEA2a,Dog,FJ561727,Carnivore
Asian SEA2a,Dog,FJ561728,Carnivore
Asian SEA2a,Dog,FJ866829,Carnivore
Asian SEA2a,Dog,FJ866830,Carnivore
Asian SEA2a,Dog,FJ866831,Carnivore
Asian SEA2a,Dog,GQ472468,Carnivore
Asian SEA2a,Dog,GQ472470,Carnivore
Asian SEA2a,Dog,GQ472473,Carnivore
Asian SEA2a,Dog,GQ472477,Carnivore
Asian SEA2a,Dog,GU358653,Carnivore
Asian SEA2a,Dog,HM486355,Carnivore
Asian SEA2a,Dog,HM486356,Carnivore
Asian SEA2a,Dog,HM486357,Carnivore
Asian SEA2a,Dog,HM486358,Carnivore
Asian SEA2a,Dog,HM486359,Carnivore
Asian SEA2a,Dog,HM486361,Carnivore
Asian SEA2a,Dog,HM486362,Carnivore
Asian SEA2a,Dog,HM486364,Carnivore
Asian SEA2a,Dog,HM486365,Carnivore
Asian SEA2a,Dog,HM486366,Carnivore
Asian SEA2a,Dog,HM486367,Carnivore
Asian SEA2a,Dog,HM486368,Carnivore
Asian SEA2a,Dog,HM486369,Carnivore
Asian SEA2a,Dog,HM486370,Carnivore
Asian SEA2a,Dog,HM486371,Carnivore
Asian SEA2a,Dog,HM486372,Carnivore
Asian SEA2a,Dog,HM486373,Carnivore
Asian SEA2a,Dog,HM486374,Carnivore
Asian SEA2a,Dog,HM486375,Carnivore
Asian SEA2a,Dog,HM486379,Carnivore
Asian SEA2a,Dog,HM486380,Carnivore
Asian SEA2a,Dog,HM486381,Carnivore
Asian SEA2a,Dog,JF819605,Carnivore
Asian SEA2a,Dog,JF819615,Carnivore
Asian SEA2a,Dog,JF819622,Carnivore
Asian SEA2a,Dog,JN974823,Carnivore
Asian SEA2a,Dog,JN974824,Carnivore
Asian SEA2a,Dog,JN974828,Carnivore
Asian SEA2a,Dog,JN974829,Carnivore
Asian SEA2a,Dog,JN974838,Carnivore
Asian SEA2a,Dog,JN974842,Carnivore
Asian SEA2a,Dog,JN974845,Carnivore
Asian SEA2a,Dog,JN974854,Carnivore
Asian SEA2a,Dog,JN974870,Carnivore
Asian SEA2a,Dog,JN974871,Carnivore
Asian SEA2a,Dog,JN974872,Carnivore
Asian SEA2a,Dog,JN974873,Carnivore
Asian SEA2a,Dog,JQ970480,Carnivore
Asian SEA2a,Dog,KT221107,Carnivore
Asian SEA2a,Dog,KT894558,Carnivore
Asian SEA2a,Dog,KT894572,Carnivore
Asian SEA2a,Dog,KT894573,Carnivore
Asian SEA2a,Dog,KT894577,Carnivore
Asian SEA2a,Dog,KT894578,Carnivore
Asian SEA2a,Dog,KX148264,Carnivore
Asian SEA2a,Dog,KY451767,Carnivore
Asian SEA2a,Dog,MG201879,Carnivore
Asian SEA2a,Dog,MG201880,Carnivore
Asian SEA2a,Dog,MG201884,Carnivore
Asian SEA2a,Dog,MG201919,Carnivore
Asian SEA2a,Dog,MG201921,Carnivore
Asian SEA2b,Ferret badger,FJ598135,Carnivore
