Accession	Year
DQ866105	2004
DQ866106	2003
DQ866108	2003
DQ866109	2003
DQ866110	2004
DQ866112	2004
DQ866116	2003
DQ866119	2005
EU086182	1994
EU086183	1994
EU159386	1994
EU828653	2007
FJ561726	2008
FJ561727	2008
FJ561728	2008
FJ866829	2007
FJ866830	2007
FJ866831	2007
GQ472468	2007
GQ472470	2007
GQ472473	2007
GQ472477	2006
GU358653	1994
HM486355	2004
HM486356	2004
HM486358	2003
HM486359	2003
HM486361	2005
HM486362	2005
HM486364	2006
HM486365	2006
HM486366	2005
HM486367	2005
HM486368	2005
HM486369	2006
HM486370	2005
HM486371	2005
HM486372	2006
HM486373	2008
HM486374	2008
HM486375	2008
HM486379	2007
HM486380	2006
HM486381	2007
JN974823	2008
JN974824	2005
JN974828	2006
JN974829	2008
JN974838	2005
JN974842	2006
JN974845	2008
JN974854	2009
JN974870	2003
JN974871	2003
JN974872	2003
JN974873	2004
JQ970480	2008
KT221107	2009
KT894558	2005
KT894572	2010
KT894573	2011
KT894577	2013
KT894578	2013
KX148264	1994
KY451767	2015
MG201879	2010
MG201880	2010
MG201884	2012
MG201919	2011
MG201921	2012
FJ598135	2008
FJ712195	2008
FJ712196	2008
GU647092	2008
KF726852	2009
KP319184	2009
KP319185	2009
KP319186	2009
KP319187	2009
KP319188	2009
KP319189	2009
KP319190	2009
KP319191	2009
KP319192	2009
KP319193	2011
KP319194	2011
KP319195	2011
KP319196	2012
KP319197	2012
KP319198	2012
KP319199	2012
KP319200	2012
KP319201	2013
KP319202	2013
KP319203	2013
KP319204	2013
KP319205	2013
KP319206	2013
KP319207	2013
KP319208	2013
KP319209	2013
KP319210	2013
KP319211	2013
KP319212	2013
KP319213	2013
KF656696	2012
KF656697	2012
KF864234	1994
KF864322	2006
KF864397	2008
KM594040	2013
KM594041	2013
KM594042	2013
KP202393	1988
KT023101	2010
KU523255	2010
MN968374	2018
MN968375	2018
MN968376	2018
MN968377	2018
MN968378	2018
MN968379	2018
MN968380	2018
MN968381	2018
MN968382	2018
MN968383	2018
MN968384	2018
MN968385	2018
MN968386	2018
MN968387	2018
MT891038	2016
MW249020	2016
MW249021	2016
AB284509	2000
AB284510	1999
AB284511	2000
AB284512	2005
AB284513	2005
AB284514	2004
AB285215	2000
EU853582	1995
EU853584	2004
EU853585	2005
EU853586	2003
EU853587	2006
EU853588	2006
EU853589	2007
EU853590	2000
HM179504	2006
HM179505	2004
HM179506	1996
KF155002	2010
KR534217	2008
KR534218	2008
KR534219	2007
KR534220	2008
KR534228	2010
KR534229	2010
KR534230	2010
KR534231	2010
KR534233	2011
KR534238	2011
KR534244	2011
KR534247	2011
KR534249	2011
KR534250	2011
KR534251	2011
KR534252	2011
KR534253	2011
KR906734	2008
KR906735	2008
KR906736	2008
KR906739	2004
KR906741	2003
KR906742	2009
KR906743	2010
KR906744	2010
KR906745	2010
KR906746	2010
KR906747	2010
KR906748	2010
KR906749	2010
KR906750	2010
KR906751	2011
KR906752	2011
KR906754	2011
KR906755	2011
KR906756	2011
KR906757	2010
KR906759	2010
KR906760	2010
KR906762	2010
KR906763	2010
KR906765	2010
KR906766	2010
KR906767	2011
KR906768	2011
KR906770	2011
KR906771	2011
KR906772	2011
KR906773	2011
KR906774	2011
KR906776	2011
KR906780	2011
KR906782	2012
KR906784	2012
KR906789	2012
KR906790	2012
KR906792	2012
KT336432	2012
KT336433	1991
KT336434	1992
KT336435	1993
KT336436	2012
KT336437	2012
KX148203	1986
KX148204	1992
KX148205	1994
KX148206	1996
KX148208	1992
KY210222	2009
KY210223	2007
KY210224	2010
KY210226	2011
KY210227	2011
KY210229	2011
KY210231	2011
KY210232	2011
KY210234	2011
KY210235	2011
KY210238	2011
KY210239	2011
KY210243	2011
KY210244	2011
KY210245	2012
