Accession,Country,Host,Year
MT524707,SA,cat,1970
MT524706,SA,cat,1997
MT524705,SA,cat,2012
NC006429,Zim,NA,NA
KF155008,SA,cat,1996
KF155007,Zim,cat,1993
KF155006,Zim,cat,1982
KF155005,Nigeria,shrew,1968
EU293118,CAR,rodent,1981
EU293117,Cameroon,shrew,1974
AF074814,SA,cat,1995
EF188811,SA,cat,2006
AF074813,SA,cat,1996
AF074810,SA,cat,1996
AF074817,SA,cat,1998
AF074815,SA,cat,1997
AF074816,SA,cat,1997
EF188810,SA,dog,2005
AF319516,Zim,cat,NA
AF319515,Zim,cat,NA
AF074812,Zim,cat,NA
AF319514,Zim,cat,NA
KP899612,SA,cat,2014
KP899611,SA,cat,2012
KP899610,SA,cat,2012
AY333111,Ethiopia,cat,NA
GQ128445,SA,cat,2008
KC218934,SA,cat,2008
KC218933,Zim,cat,1993
KC218932,Zim,cat,1981
FJ465418,Zim,cat,1981
FJ465417,Zim,cat,1981
FJ465416,SA,cat,1970
FJ465415,SA,cat,1995
FJ465414,SA,cat,1996
FJ465413,SA,cat,1997
FJ465412,SA,cat,2006
FJ465411,SA,cat,1996
FJ465410,SA,cat,1998
AY062078,Zim,cat,NA
AY062077,SA,cat,NA
AY062076,CAR,bat,NA
AY062075,Cameroon,shrew,NA
AY062074,Nigeria,shrew,NA
GU992314,CAR,rodent,1986
GU992313,SA,cat,1987
GU992310,Cameroon,shrew,1986
