acc	CpGpos1	CpGpos2	CpGbridge
JQ595322	0.20000000000000004	0.08933088617525188	0.19100716146601793
JQ595324	0.2	0.08931115143125394	0.16972010025438714
JQ595325	0.20833333333333334	0.08870403330907264	0.18581573070475874
JQ685925	0.20000000000000004	0.08929902683980016	0.16971919955272166
JQ685996	0.2	0.08988843105191847	0.1712747183017307
JQ824889	0.19999999999999998	0.08930505993253791	0.17297966225337352
JQ824893	0.20833333333333334	0.08196961145096092	0.17198418815752572
JX871849	0.2	0.09267736320257967	0.17670641087214528
JX871859	0.20000000000000004	0.08930184657683525	0.17218491690914298
JX871865	0.19999999999999998	0.08869238963646084	0.18580701969706728
JX871869	0.2	0.08930308818598962	0.17628261578585938
JX871881	0.2	0.08279146690570532	0.1680502111154399
KJ174608	0.2	0.08838723710208353	0.16352985855831784
KJ174609	0.20000000000000004	0.09888088841083921	0.18581341817445884
KJ174615	0.19999999999999998	0.09516501589274809	0.18583265795721238
KJ174616	0.20833333333333337	0.08929073695648299	0.16345105451775715
KJ174617	0.19999999999999998	0.08929265905851337	0.17066363593833614
JQ595307	0.17391304347826086	0.07912784920846941	0.1390890520290634
JQ685947	0.16	0.09268389296947664	0.14286928637492857
JQ685999	0.16	0.08648465387758315	0.1380613852439549
KJ174642	0.16666666666666666	0.09268709735158162	0.14686263083534845
KJ174643	0.16666666666666669	0.09302325581395347	0.1400558563977737
KJ174644	0.16666666666666663	0.08648419693225477	0.14006575134350144
JQ595320	0.22727272727272727	0.0702258807256821	0.14949611905510404
JQ595321	0.2608695652173913	0.053942018091335725	0.1568342380962346
JQ685905	0.26086956521739135	0.05373705872559217	0.14947284622359228
JX871846	0.2608695652173913	0.05373668172576235	0.1494874442224532
JX871870	0.2608695652173913	0.060747897097478895	0.15394243429973212
JX871877	0.2608695652173913	0.060747897097478895	0.15807441130889047
KJ174667	0.2608695652173913	0.05393528882360672	0.15355351144114185
KJ174668	0.2608695652173913	0.04712622581694506	0.13835214182607217
KJ174669	0.2608695652173913	0.04712622581694507	0.14081227593011922
KJ174670	0.2608695652173913	0.04712607613063279	0.1428514677282028
KJ174673	0.2608695652173913	0.053940087888800205	0.15354478256297469
KJ174674	0.2608695652173913	0.06450591699537904	0.14947421871373467
FJ712195	0.29166666666666663	0.14312456872645182	0.07634310315401421
FJ712196	0.3076923076923077	0.14309341062070033	0.07197467014414471
FJ825134	0.2916666666666667	0.14316361600716343	0.08449294591889021
GU647092	0.29166666666666674	0.15646526090377463	0.0737744295752198
KF726852	0.2916666666666667	0.14683426760894716	0.08068075780969491
AB449210	0.25	0.10405853691988046	0.15662889647683167
AB496698	0.25	0.11050316486242931	0.15664183954504507
AB496699	0.23999999999999996	0.11050154383313053	0.1428748380227096
AB496701	0.23999999999999996	0.11050319982843497	0.1607941154745402
AB496703	0.23076923076923078	0.11049446164689035	0.15668794165685068
AB496705	0.25	0.1104625432997067	0.14795572886955188
AB519642	0.26086956521739124	0.10092498843306281	0.1600593238439494
JF523202	0.27999999999999997	0.10092550720941426	0.1663793215974083
KF656698	0.23076923076923075	0.11659097452156708	0.1609715701874842
KF656699	0.23076923076923084	0.1161180213973946	0.16091941601666906
KM594040	0.25	0.10132948747470094	0.17178091071884274
KM594041	0.28	0.09119987258878305	0.16505002965881008
KM594042	0.25	0.10132096587123283	0.17182250112203395
KT023100	0.28	0.07550989327085299	0.17351173401674344
MN968388	0.24	0.09152791044622226	0.14037192475635335
MN968389	0.24000000000000002	0.0915299157212048	0.14443868202960133
MN968401	0.23076923076923075	0.09152655427794006	0.14038383876588315
AB428310	0.25	0.13953089248725256	0.11639470822399423
AB428311	0.25	0.13178954653022257	0.11061904582765533
AB428313	0.25	0.1317827435897653	0.11056415943291913
AB428314	0.25	0.13178686978149956	0.11057860473302782
AB428316	0.25	0.13178401833372153	0.10212875560136174
AB458802	0.25	0.13178686978149956	0.11688171946073772
AB458806	0.25	0.13178514166666674	0.1105648037490359
DQ849071	0.25	0.13178217956153157	0.10449541520727304
EU086144	0.25	0.13810726378968266	0.1105648037490359
EU267746	0.25	0.12548446252262813	0.128117234215624
EU267747	0.2916666666666667	0.1259099770124382	0.12398654167309017
EU828654	0.23999999999999996	0.14747808880994873	0.11380014849313694
FJ418880	0.25	0.13808896599147377	0.11046258863227616
GQ472535	0.25	0.1450058482630444	0.11106558731435721
GQ472536	0.25	0.1317983987363496	0.11063980721136348
GQ472537	0.25	0.1317845272673945	0.11057803941383705
GQ472540	0.2608695652173913	0.14708474697446183	0.11335876451265454
GQ472541	0.25	0.13177618383959916	0.11103200745436308
GQ472543	0.25	0.14170407493740064	0.1105913218275299
GQ472546	0.25	0.13178514166666674	0.1105648037490359
GQ472547	0.25	0.1317742507116907	0.11779143547061051
GQ472549	0.25	0.14080798968957212	0.11088996685378272
GQ472550	0.25	0.1317845272673945	0.10965516166258192
GQ472554	0.25	0.1317875295285275	0.11056544266246301
GQ472557	0.25	0.13178472405608785	0.10211666463550167
GU186379	0.25	0.14040409943933668	0.11686770926427976
GU186380	0.23076923076923078	0.14499066586784937	0.11691132009488102
GU186398	0.25	0.1317875295285275	0.11056544266246301
GU186400	0.25	0.14920088414036106	0.11398682764094675
GU186401	0.25	0.1492008841403611	0.11398682764094675
GU186402	0.25	0.13369228507912181	0.11096278472402893
JN936688	0.25	0.13397594696910947	0.1202713176548499
JN936689	0.25	0.14802354621511665	0.11275151902103331
JN936690	0.25	0.13310710944239562	0.12358064282815792
JN936693	0.25	0.13178401833372153	0.1109850556581281
JN936695	0.25	0.13178625556815418	0.10908842369805787
JN936697	0.25	0.12546349879069688	0.12417162412745278
JN936707	0.25	0.13723597931663686	0.11272464789121507
JN936711	0.25	0.13948958150156987	0.1235238743848122
JN936713	0.24	0.13949094573427806	0.12355973285007318
