"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","clade"
"AY352488",4.55092849634552,-2.30642971423187,-4.3502439991051,-0.792638681269256,-0.148022439040121,-1.26759341461082,1.43599805407685,0.398203904707808,-1.92722026857839,1.32493702329439,1.59507649316119,0.147656503884287,1.89100052636576,-1.74862465936537,-0.244908517893334,-0.253208534279868,-0.489702585330796,-0.200018106217974,-0.991044517334759,0.72154993614115,-0.262237325205782,-0.631648643360014,0.32272093110252,0.075192042158787,0.0243789841986433,0.0189252976966323,0.184357181708703,-0.443890869162325,-0.018034910404722,0.0890908483950022,-0.0383558044213345,-0.31453883043394,0.0406333079631219,0.0968789555067086,-0.177690939770466,-0.0745777934374602,0.183829782703346,0.0708207413337106,-0.0995224461165719,0.164155028764896,0.0676747100455021,-0.119939985259252,-0.0115174136129384,-0.168545523769709,0.00903661828069148,0.0509418898651817,0.0623133659667503,0.000624725074778473,0.0512982838469087,0.0119764525289927,0.00573185884994313,-0.075357552549687,-0.00742439929328307,-0.0208188361619376,0.00315979992865071,-0.000338616987424078,0.00916349176704103,-0.00563067183582265,0.000235825104940926,"Arctic A"
"AY352501",4.31075262583458,-1.732159323255,-4.99951596285253,-1.84236228838781,-0.93401810591489,-0.229394320824032,0.128653198777306,-0.379305136879044,-0.0390227459729499,0.0514151557729985,0.0569178383801294,-0.0865637403064996,0.0278563213403853,0.418665162325982,0.324207274993144,0.160225800078086,-0.512965752163853,-0.493675211223332,0.00586551543452123,-0.651842929207198,0.417553887676342,0.358175781055808,0.574569632765828,0.131478327702497,-0.0220733946202168,-0.282220894553956,-0.777763640363276,-0.0169047031329574,-0.0977099811107941,0.373978479274165,0.0473064070696464,0.0814492245892404,-0.373243424880958,0.0501222417421941,-0.240345597730477,0.33671457756968,-0.208596813946264,0.0856922742220581,-0.0403714101567734,-0.0151261158106172,-0.113406367967651,-0.125964878429032,-0.0575847372387456,-0.012736549221299,-0.040625741678945,0.0209854725343359,0.00470824343693527,-0.022979085197872,-0.066624471564594,0.0339762089013737,0.00265312789241359,0.0237987324706525,-0.018025006160648,-0.035022147670516,-0.00923584679928506,0.0423060979426358,0.00406715455865287,0.023623454978756,0.0041912854348662,"Arctic A"
"JN258588",4.41998958026194,-2.10966257607182,-5.37454776152022,-0.922499996093314,-0.961807438248942,-0.667231280987642,0.155633082492763,-0.291451969674967,0.676422405025876,0.118124113661527,-0.986809052513853,0.68080516133137,-0.639567822858423,0.181610669072602,-0.290853666101081,0.338208186156307,0.0514786955314456,0.0218164189376147,-0.293846737066634,-0.00885579746593709,-0.175207148750024,-0.103853794704988,-0.020675819880195,0.497455544047197,-0.0024832694060234,-0.0697750476762978,-0.258750417101629,-0.267477026318621,-0.101334292310359,-0.00299658554829559,0.0508162966527957,0.385509406040358,-0.0111396511616801,-4.28562432309323e-05,-0.0482671787453502,-0.129219469657937,0.171288610333478,-0.221572813505534,-0.0248543218003599,0.0200365490625813,0.015877396112437,0.0204450138649748,-0.0433361687055062,-0.0256596921825382,-0.0293489068358093,0.00718285931482933,0.0381696031000787,-0.0393552856109938,-0.00878295692088746,-0.0191050316354253,-0.0352013808537712,-0.0516065499583956,-0.00187787104190249,0.0121290983378394,0.0156428160133464,-0.00441064641956917,0.00412595491638717,-0.0149454851834663,-0.00567653451226214,"Arctic A"
"JN258592",4.62105707985639,-2.39006701805433,-4.2313935951003,-0.746961429617941,0.449111327583021,-0.595867373668809,1.11417566469687,1.5103621116312,-2.59408967509151,1.11905901938264,2.01420304762113,0.311668686687778,1.32815764432592,-1.90215741667759,0.138266309266666,0.598465268285819,-0.830875651305677,-0.594578573910312,-0.723868780138008,0.878669131771888,0.00322899994396297,-0.0647028286066521,0.225049586447491,-0.285292966923432,-0.310535795284595,-0.00944231369505548,0.411905829584671,-0.00516134876783858,-0.382199490759745,0.186745990023794,0.599112708349797,-0.373065161910228,0.255149314818599,-0.393205687034714,-0.162724001823306,-0.14327392155755,0.228513017414184,-0.476555906889677,-0.0804099947636375,-0.225186688913642,-0.325171759834191,0.0858896951138097,0.0963116978267949,0.111573847491959,0.0410396292563512,0.0533069337932756,0.0521210442382165,-0.0158666324895498,-0.0517520129648038,0.00927615626487273,-0.0118541682824533,-0.0124794958349308,0.0627378397759587,0.0236312251390726,-0.0202840548395131,-0.00906610110272412,0.00697045603522957,-0.0278790435601242,-0.00500518877167245,"Arctic A"
"JX987747",4.44583700612674,-2.17754418416837,-4.48062976018497,-0.697308425969848,-0.223137712376003,-1.2652935345746,1.3295118284892,0.53622474192808,-1.78821167040674,1.31698819524588,1.61149801187815,-0.0349657971421706,1.97358532540997,-1.85009111622589,-0.178583704779249,-0.386557676526569,-0.377646562734502,-0.278437513813346,-0.945746535574707,0.669240739560587,-0.299022298455099,-0.628020670508838,0.42161288940102,-0.0194348897655225,-0.0332421143102974,-0.0837537316186838,0.419246047926244,-0.301358974586094,-0.0269120645571031,-0.0334240286222877,-0.0360919725368199,-0.29858447607307,0.0747217100115734,0.203519903218484,-0.212352483633925,-0.162321219201274,0.217705218857829,0.0870355918212705,-0.055733626570262,0.172659291802232,0.0695270635706218,-0.102995240879041,-0.00875298839601758,-0.0997760734030246,-0.0010040010987084,0.05817660589858,0.0676718149420872,0.013491184154572,0.038256211152994,-0.013471734166777,0.0175968786843464,-0.0602481790020768,-0.00530027845220452,-0.0135791890938248,0.00644078011640529,0.00216232170253968,0.015612982764346,0.00515096012523043,0.00614617451511569,"Arctic A"
"KU198460",4.34074551590796,-2.04865865410487,-4.61101552126485,-0.60197817067044,-0.298252985711884,-1.26299365453837,1.22302560290154,0.674245579148351,-1.64920307223508,1.30903936719738,1.62791953059511,-0.217588098168628,2.05617012445419,-1.9515575730864,-0.112258891665165,-0.51990681877327,-0.265590540138207,-0.356856921408718,-0.900448553814655,0.616931542980023,-0.335807271704415,-0.624392697657663,0.520504847699521,-0.114061821689832,-0.090863212819238,-0.186432760934,0.654134914143784,-0.158827080009862,-0.0357892187094847,-0.155938905639577,-0.0338281406523053,-0.2826301217122,0.108810112060025,0.310160850930258,-0.247014027497384,-0.250064644965088,0.251580655012312,0.10325044230883,-0.0119448070239521,0.181163554839568,0.0713794170957416,-0.0860504964988304,-0.0059885631790968,-0.0310066230363402,-0.0110446204781083,0.0654113219319783,0.0730302639174241,0.0263576432343654,0.0252141384590793,-0.0389199208625468,0.0294618985187495,-0.0451388054544665,-0.00317615761112592,-0.006339542025712,0.00972176030415982,0.0046632603925035,0.0220624737616509,0.0159325920862835,0.0120565239252904,"Arctic A"
"KU198462",3.75511316189852,-2.46707792706533,-2.27607630186442,-1.48275972062397,-1.15259374885114,-1.38622840223648,1.57333103439664,0.0642201771686595,-0.297567927818109,1.27775440697684,0.782513120650797,0.231886453451692,1.51200470561051,-0.438032111085871,0.3745254401263,0.17632514722568,0.0511355706020581,-0.806862554972183,-0.280937680122748,-0.311755500565853,0.858134065484581,-0.00603022335638191,-0.100141112268907,-0.743255406596188,0.465750549846651,1.01641771316307,-0.40321716903769,-0.683855277032277,0.831215224648103,0.752314484477279,-0.288096404138547,-0.417296550122457,-0.392676984568163,0.701427058062597,-0.922424543438205,0.449320552459086,0.0946642390248038,-0.163318899326483,-0.0634182590035716,0.280199457086725,0.65534579576504,0.287643340999942,-0.00177156534153479,0.439242220520084,0.00365230520732516,0.128497560055856,-0.195255611067078,0.133606001240427,-0.0633533775923279,0.107705035675646,0.245674134422217,0.0134099902496782,0.122637854073424,-0.0692873852552534,-0.0788160397966658,-0.0957305407974693,0.0187829655908819,0.0227662858037598,-0.005547766360797,"Arctic A"
"KU198464",4.4581201403697,-2.1122934938505,-4.41328719808101,-0.745761475431448,-0.125369073790703,-1.27536001310592,1.41471651135043,0.371104742234288,-2.08915281751948,1.53051051874053,1.64603256095079,0.00763562142166796,1.88106173007703,-1.8337537699901,-0.309686775984136,-0.236117427383542,-0.523297368343414,-0.218811494854422,-0.979024659963885,0.840041498867838,-0.294231864954391,-0.454990887812514,0.35811385644918,-0.0203637659381781,0.0691872879822342,0.0251686964747883,0.0399192550415005,-0.364449127390828,-0.175086415626865,0.178199354642346,0.204937143431409,-0.306685606788125,0.232440973810354,0.0223824384733413,-0.111774440991281,0.0379283675216281,-0.071639269130254,0.196388389857785,-0.10786218580942,0.145929295483833,0.131779938300696,-0.138949998911595,-0.125936472368215,-0.153995176813842,-0.00562871683226173,0.132734846861466,0.0341888972576413,0.0562910945854318,0.0831814368388045,0.0168350605257291,0.000152180110737624,-0.0837314157339252,-0.0213760672052612,-0.00695676596434117,0.01085620623893,0.0266730155587567,-0.0025675915489993,0.000485543358698505,-0.00371168899096007,"Arctic A"
"KU198466",4.27370802532205,-2.06722503585225,-4.80980795427924,-1.25814854053366,-0.804465977267959,-0.171856142926611,0.368902893993111,-0.336282836479463,0.507486397922467,-0.227903546025828,-0.0740467465383194,-0.0478062416613143,0.221825647005167,0.0746264525225152,0.0787315730705602,-0.424806982917836,-0.155350956884137,-0.054321889434242,0.289925261110857,-0.47143133765207,-0.160650608991061,0.0736466040286719,-0.154666267471115,0.0073245816710778,0.123937597148067,-0.0615649765281206,-0.170654982837476,0.057626419579582,-0.0647850376080965,-0.289445766853327,-0.0640356050885408,0.117155650804822,0.0677841229536237,0.0790096247216023,0.0878668445422211,0.115056284846921,0.306851844302889,-0.398231223376575,-0.0269346794837991,0.251320973338401,-0.0610643099192996,0.169649067478439,-0.0975351438940078,0.0116253231817275,0.0976829870396418,-0.061067026579823,0.102236567455981,-0.0135251208963415,0.00416861009150665,-0.0366656324432973,0.0201189691055117,0.0567616352211741,0.0317506250673103,0.0284113548889239,0.0165249971956875,-0.0422177678474681,-0.000657819576333725,-0.0111592553761762,0.00734414938766544,"Arctic A"
"KU198467",4.4911761841634,-1.97737687047786,-5.34025050875983,-0.992330621659162,-1.15097650644179,-0.541112569006814,-0.2874796986432,-0.593722238497475,0.415091249428549,-0.212064723988355,-0.382212088591632,0.258016361268084,-0.543624469091552,-0.0197311292889039,-0.609718499531265,-0.347604986567052,0.343749097884918,-0.0916319418504493,0.399175714013884,-0.0726603323894126,-0.10145231261443,-0.381901059033213,-0.22732276742305,0.397596842294079,0.2390789616472,0.0276501958571448,0.314014351850797,-0.105649548275195,0.0807834936217083,0.0828904653275787,-0.0987299079407716,0.183677597128005,-0.108666192451443,-0.02241740778283,-0.028784559138397,-0.294583342246315,-0.0527314345393436,-0.0364190559679373,0.0223336728833841,-0.0673865219576517,0.0453755649448833,-0.0232338990775074,-0.059699751075693,0.0562464394592511,-0.0259114110997134,0.0217215576449151,0.045431492285701,0.0105335001062525,0.0211653041147919,-0.0201549202541414,0.00665769732195812,0.00587226231144045,-0.0148944048798052,0.0133689877829338,0.00442034451097219,0.0239992066397857,0.0121943227098946,0.0100795763635649,0.00127198716205389,"Arctic A"
