"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","clade"
"AY352488",-2.12385147507532,3.93373112119061,-4.75538804809311,-0.433549489073399,0.0757101642223168,-1.33459580679914,-0.959100708455451,1.8428420901469,-1.28237729325423,2.06600671643587,-1.13303307415465,-1.1655011124269,1.91469982044636,-1.33268302171848,0.102327212038005,0.692088532434834,0.256472395859204,0.844638932703291,0.575538014201874,-0.746554292673682,0.524506802882695,0.0770942995199005,-0.16339849472159,0.280374013009001,-0.0741712926866763,0.291296794783355,0.420607061599639,-0.050983666835893,0.103922025890303,0.0855243566732776,-0.255072648794786,0.245825756739491,-0.209825810127949,0.0216958275657997,-0.206285281882429,0.092723714206302,-0.00311630875700339,0.155868032183819,0.169121078206311,-0.00735513384909472,0.000119405179165979,-0.000120127860651738,-0.000776098661817612,2.57503304891201e-05,-5.20111140463691e-06,-0.000274620187614926,0.000373269365469565,-0.000184294447248068,1.10212359684432e-14,1.80298252534485e-16,-3.95231512410453e-16,-2.24497634637443e-16,1.65434542773871e-16,-2.68924951646606e-16,-3.07061866322948e-16,-1.32153939980759e-16,-5.86250528070327e-16,"Arctic A"
"AY352501",-2.16719389665773,3.24104300613006,-5.32786396857387,-1.70661895663636,0.668106356726293,-0.348710396753757,-0.45642824458752,-0.182108584841258,-0.068197115128691,0.176407084878598,0.246140342672193,0.240972195351784,0.0699188386920008,0.374961643952746,0.0842393021278641,0.459956028134408,0.313747557555904,0.190340906797976,-0.862229735510812,0.166145609609604,-0.450203536619386,-0.482183628367984,-0.503869031267598,-0.00465143651902998,0.334997400911831,-0.748669013617583,0.116508796550455,0.0730690730996637,0.338664835603964,-0.380649531923756,0.0669648503151115,0.0486078231692494,-0.13980937049337,0.248978413085246,-0.00310175355641142,-0.340569811418674,-0.210654384496919,0.0421815610910862,-0.0674661056366036,-0.0527323787812273,0.000434869723148494,0.0020247397484881,0.00109555741363102,0.00100526533291629,-0.00139018393069437,0.000244851127489201,0.000530457117991931,-0.000240484653302879,1.10345722015241e-14,1.68533174954128e-15,-9.73262565566507e-17,2.89406931096584e-17,9.13341953399901e-17,3.17687865775297e-16,-2.23673738593097e-16,4.13875707825733e-16,-5.83745447819586e-16,"Arctic A"
"JN258588",-2.03394179523487,3.6178286239744,-5.80131495862786,-0.913495553892042,0.742180203593308,-1.01947752318975,-0.342206344446885,-0.17741307770399,0.929139421122168,-0.352114419218808,0.0631583430015111,0.985963248228654,-0.535441811807859,-0.092404279590309,-0.487533103038917,-0.128160848726724,-0.100375371482865,0.289422840496883,-0.0820891071510413,0.099957585329305,0.124473522841303,0.234820423243003,-0.170971420215091,0.466719428206735,0.069226009852505,-0.283295173449756,0.246741724890192,-0.134475253298044,0.0251619902333283,-0.0515953315202199,0.241323156521053,-0.161193094049339,-0.0938203008539761,-0.0915406646064592,-0.00674610526445725,0.266835966239886,0.0402397653747016,-0.118014797407241,0.0156071398603536,-0.0642406898286393,0.000282025063788849,0.000465832701064049,0.00115793213924862,-0.00035991828375145,0.000891977200334733,-0.000347772392698184,-0.000241257407117465,-3.65156851699382e-05,1.06865159907396e-14,1.43086165439443e-15,-3.62048593165681e-16,-4.4338624282159e-16,-2.35505450198333e-16,2.20012647419505e-16,-3.04087790596795e-16,3.82453913032769e-16,-5.7577896779819e-16,"Arctic A"
"JN258592",-2.05108834315053,3.91012629239747,-4.58638556792058,-0.436521285557165,-0.4587552512445,-0.31671751710452,-0.0421452326058565,2.61261200277161,-1.99733007938503,2.23083900696688,-1.13438741297255,-0.768894955020605,1.34765543581067,-1.51660586715298,-0.0157291349147124,0.845357240039654,0.497087881551619,1.08290852690467,0.759021176408164,-0.442041534646193,0.0178634579122412,-0.234285059827675,-0.113652932807302,-0.156829272062594,-0.225553242817771,0.29944879294146,-0.0942799512794563,-0.530437603208385,0.614058225244629,0.43413371666503,-0.332620585076594,-0.191896612413784,-0.302832269497435,-0.0159507981062557,0.166805079691702,0.371526151419433,-0.0858670419458483,-0.405252210730359,-0.159068626583711,-0.0995205783942812,-4.17212997914557e-06,-0.000378060555238007,-0.000586535551014326,-0.000368668717060897,0.000302511169446984,0.000844878083004518,0.000261252992302964,0.00139943993856293,1.12745055959358e-14,6.66020825807991e-16,-5.2707049658469e-16,-3.0776436148433e-16,5.53145239654687e-16,-2.77381728591993e-16,-8.30026784221331e-16,-8.08696095611714e-16,-8.79418795510407e-16,"Arctic A"
"JX987747",-2.09889899502959,3.75062311172712,-4.86984884364144,-0.362529304045932,0.14688662940921,-1.35170108940345,-0.762072687328304,1.81845535908241,-1.17812202902826,2.0174830852121,-1.03162779121891,-1.34169417550703,2.00646516875608,-1.39981323144158,0.258137014504831,0.648729890351554,0.362523801684267,0.788210185917236,0.547640146590693,-0.740893019468438,0.605443098305147,-0.0397901117562433,-0.166927334202715,0.221033128644587,-0.021594119059138,0.491946839167747,0.208660901501961,-0.162006804686864,-0.0107866247607791,0.104574870761498,-0.205906837817322,0.304027862628268,-0.249560846547687,-0.0500711291773878,-0.200733926246254,0.122596250653874,0.0510832885902317,0.16900285402163,0.125353512398262,-0.0100136674858853,5.76073582005981e-05,-0.000132855663616534,-0.000810017456136522,-9.65520087551423e-05,-7.75205396442347e-05,-0.000448259784377458,0.000354167823920238,-0.000200033504702735,1.09102136659807e-14,-9.72575036218044e-17,-2.28698058716679e-16,-2.80008785868701e-16,2.20945694005129e-16,-3.79947254109122e-16,-3.07061866322948e-16,-2.43176242443275e-16,-5.86250528070327e-16,"Arctic A"
"KU198460",-2.07394651498386,3.56751510226363,-4.98430963918977,-0.291509119018464,0.218063094596103,-1.36880637200775,-0.565044666201156,1.79406862801792,-1.07386676480228,1.96895945398832,-0.930222508283174,-1.51788723858716,2.09823051706581,-1.46694344116468,0.413946816971657,0.605371248268275,0.468575207509331,0.731781439131182,0.519742278979512,-0.735231746263194,0.686379393727599,-0.156674523032388,-0.17045617368384,0.161692244280174,0.0309830545684003,0.69259688355214,-0.00328525859571674,-0.273029942537835,-0.125495275411861,0.123625384849719,-0.156741026839858,0.362229968517045,-0.289295882967424,-0.121838085920576,-0.195182570610079,0.152468787101446,0.105282885937467,0.182137675859441,0.0815859465902124,-0.0126722011226757,-4.19046276478323e-06,-0.00014558346658133,-0.000843936250455543,-0.000218854347999183,-0.000149839967883721,-0.0006218993811401,0.000335066282370912,-0.000215772562157401,1.09102136659807e-14,6.92759500719691e-17,-6.21646050229066e-17,-3.35519937099959e-16,2.76456845236387e-16,-3.79947254109122e-16,-3.07061866322948e-16,-2.43176242443275e-16,-5.86250528070327e-16,"Arctic A"
"KU198462",-1.51292374560721,3.56322603324785,-2.49489832205815,-1.24913688898675,0.66531564953323,-1.60078356938399,-1.03633291378605,0.766384947493887,0.185148061267847,1.53323269727978,-0.677924544872013,0.0767341776152558,1.45338956522558,-0.403139037316878,0.464657333675901,0.00104649855536517,0.823246193359456,0.300469770582265,-0.553827827572167,-0.156611356360295,-0.877034399162416,0.286947729219086,0.0693350845296262,-1.06229634649765,-0.451989613170497,0.111167603603307,0.510706548716001,1.34730882716771,0.340367460780651,-0.606875729488186,0.12988642486496,0.790062396500963,-0.663455983188397,0.28495133092327,-0.0881736414358223,0.00232204364798257,-0.0843692808017501,0.271819642398253,0.491223579683445,0.131390019792319,-0.00416202020024161,0.00265076748455379,-0.00205717148984174,-0.000909843932213995,-0.0006352331160356,-0.000754453708208,-0.000207643917664288,0.000666168261255973,1.07312731676139e-14,-6.08903958796606e-16,-2.22987639134055e-16,-1.44668262429258e-17,-1.25729823067494e-16,-3.90795483108173e-16,-1.23807885582822e-15,9.36481880375948e-16,-1.07781948415448e-15,"Arctic A"
"KU198464",-2.14989010037178,3.7177217334747,-4.79930395329203,-0.377362374156669,0.058329881920824,-1.33263647942536,-0.941390812663413,1.81207939097824,-1.41981895352879,2.32304658681201,-1.02648785056066,-1.2364433422516,1.90871288656754,-1.41779683168779,0.0625585411576657,0.7020149172693,0.268286995280245,0.845936356338864,0.669868875615916,-0.744790140433983,0.472162864803616,-0.0798614124207868,0.064423996775039,0.274003069663007,-0.0796056872220247,0.0889748892938984,0.414989231211126,-0.178522663426395,0.219785376911193,0.283079295666277,-0.144843303640486,0.167889403381529,-0.139487367370549,0.101120358210016,-0.123549438586663,-0.0581521668141234,-0.196367088410907,0.297190914088564,0.228145545284832,0.0874035395131008,9.87357554562723e-05,-0.000122116986293048,-0.000644108451313472,-7.10147005124133e-05,1.25000843635198e-06,-0.000377215812731312,0.000439414817092266,-0.000162844217804958,1.12432805733682e-14,2.35809403765743e-16,-3.39720361179195e-16,-1.68986483406185e-16,5.44122403113552e-17,-1.5790264918409e-16,-8.50172613979165e-17,-2.43176242443275e-16,-5.86250528070327e-16,"Arctic A"
"KU198466",-1.96661828038487,3.52418241936977,-5.10942286197902,-1.17805636906855,0.702678293724141,-0.34552996424131,-0.582023927995172,-0.077338583262319,0.450227886798756,-0.367427179082201,0.021369958929174,-0.144000814282309,0.250791197240712,0.171404619194353,0.262991359424289,0.19118529418138,0.0567577467599159,-0.377973021075511,-0.416480185261035,0.287536466164201,0.0639386059797321,0.0921754308535033,0.16590039293899,-0.0294192495113789,0.12994744658047,-0.143562673388295,-0.00159642788084157,-0.0517112664449054,-0.284720945738867,-0.00660365678759505,0.16020735852359,-0.045424139651355,0.0132092021211726,0.171993099797789,0.034322413504738,0.389901139199678,0.202999278084316,-0.202578609472192,0.145043275857011,-0.293161209300003,0.000194618959341095,-0.000885405928944282,0.000900403086965998,0.00102672857218835,-0.000454027485219176,-0.000581677173187793,-0.00070311371547293,-0.000331235123071113,1.071206978248e-14,9.74276421960458e-16,-1.70654657263949e-16,-4.36155964924861e-16,-3.70744008972273e-16,9.77422680465821e-17,-1.3492241543474e-16,8.47320455429703e-16,-4.03887237625837e-16,"Arctic A"
"KU198467",-2.17647688976554,3.57525438769277,-5.74827571762906,-1.06604966160338,0.968121211763685,-0.946203969610812,-0.170777882180517,-0.736657787838719,0.303117643976102,-0.491956881577904,-0.220578302237057,0.0635875368202529,-0.547553700649796,-0.196269881672688,-0.27965880167946,-0.222541045882937,0.15098980733156,-0.66990702862238,0.0286351983394719,0.117019265662277,0.227021584976196,0.395632389436301,0.00129730918062488,0.407375379301618,0.0648835587995769,0.283323807637078,0.0398845680550644,0.0993493742252276,0.0104632064283978,-0.165142696870914,0.0313931564533659,-0.0862595780872984,0.0112097128827434,-0.237252312400654,0.0349083086536569,0.111574471024549,-0.0974246158160177,0.00983291254665158,-0.072138272462616,0.0362510585669147,0.000380617763472148,6.52514861363375e-05,-0.00118704021228736,-0.000130349333358894,0.000316919297139558,-0.000132929847520074,-0.000290916662342952,-7.90847230271166e-05,1.08218244218658e-14,9.04373079435469e-16,-2.23270715087537e-16,-4.98897394052848e-16,-9.58602103822003e-17,6.21528111056152e-17,-1.14243990194583e-16,6.11437411861708e-16,-3.38121851589368e-16,"Arctic A"
