"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","clade","Accession"
"DQ666289",-7.94672169789501,1.13956206494393,-1.45376741386444,-0.399519166512438,2.42850931656332,2.77843247910307,-1.73313212949989,0.576555973618782,-0.250213626536649,-0.408397201226439,0.153572810804776,-0.195838648718034,0.200477481315122,-0.871088218265506,0.851180383465726,0.167235373838081,1.1303737102966,0.286909442739467,0.373211476738559,0.229025445317009,-0.461077558001095,0.822121530440446,0.152602372216895,0.0563731881723345,0.341888171931269,0.0949635253580418,-0.172733648300538,-0.347184116002076,-0.100505056292695,-0.456695201489568,0.125338424109355,-0.472067646952873,-0.197377325846265,0.45421598531299,0.291179680331977,-0.475661557512178,-0.264476428683128,0.00133213401556443,-0.334799964808997,-0.221194697850455,0.000251381959527834,-0.00168695971514986,0.000393513308468802,0.000502604073396658,0.000522041873944631,-0.000512523101741938,-0.000167912881198526,0.000274892388290263,1.94902412417341e-14,-6.02824338730042e-16,-8.55742698295893e-16,2.77403311761609e-16,6.40632254947762e-16,-8.21834539923166e-16,2.51280391299624e-16,1.17076785204546e-16,1.19780562544049e-16,"Asian SEA2a","DQ666289"
"DQ666290",-7.8855551177949,0.554602953764576,-1.53605735713617,-0.0243238906352826,1.4483799752599,2.78897211630844,-0.910948375429158,0.617857071114832,-0.640215261738935,-0.0929660944680984,0.84445555111023,0.11038316445178,0.613828636547882,-0.550288151469791,0.327158176520695,0.290834187780585,0.33643159264135,-0.0344040202960148,0.666124967174168,-0.252497107101934,-0.642367892830037,0.205951998219144,0.0766612034574244,0.0998777990342174,0.175439172676571,0.306667745687241,0.0342933163661636,-0.0813510167337572,0.206638381498045,-0.213762532314396,0.095019404055894,0.0227307762814336,-0.387052688915627,0.333185535561335,0.107946856731879,-0.0787487331497944,-0.147210995467379,0.146319809378897,-0.052685473523577,-0.134229698772309,0.000388414464956226,-0.00314958596582655,-0.0010878257876282,-4.11884996002818e-05,0.00100752031700296,-0.000321002842448014,-0.000151457674089161,-0.00121319957939096,1.95114639747247e-14,-9.93758356499384e-16,-4.45993129253253e-16,9.48002309145315e-16,-2.89783596500502e-17,-8.345659789362e-16,4.55644701153087e-16,-6.46454768478378e-16,6.52723580253344e-17,"Asian SEA2a","DQ666290"
"DQ866105",-7.07777994074962,-0.157980799611891,-1.24091244623926,-0.0570565301667143,2.49832426874208,2.8626775249943,-0.863964561108505,-0.106282360021839,0.143729293502296,-0.645942961009483,0.704480299493756,0.067291702088906,0.396998589855941,0.442163401634415,-0.435675949288857,0.220560458890333,-0.533572909281053,0.0792307283195155,0.660919970803342,0.899810359291377,-0.295777755282102,0.633631355311175,0.156938417415299,0.5890606306406,-0.0943640463431202,-0.351456399229054,0.521401636918458,-0.307743788637958,0.306837045210349,0.301160494683954,0.739274085603676,0.0339931778940054,-0.186087712758969,-0.30383080338697,0.174614161660112,0.279019824770832,-0.12383836935188,-0.431508449199194,0.243257906037576,-0.264618494669378,0.00115844722423913,0.00164937244690616,8.55419016207791e-05,5.81742450680558e-05,-0.000384137095398728,-0.00122191500740679,-0.000213057026388346,0.000240548789143462,1.83581178345596e-14,-1.76951811491734e-15,-7.67680439658225e-17,4.79900364900621e-16,1.80442836807966e-16,-7.02985163045081e-16,6.54333966799299e-16,-5.62608235827177e-17,-4.46134458505779e-16,"Asian SEA2a","DQ866105"
"DQ866106",-7.77717118681899,0.772776647775275,-1.59580074986105,-0.947770235638127,1.89600520006508,2.36957037904688,-1.01025894575798,0.87355165278581,-1.26928616168241,-0.305294459378243,1.10787059832344,-0.389675933486509,-0.0923307231268094,-0.286431855177928,0.474294295217434,0.173212464616911,0.482105511874351,-0.134928571622661,0.0788276980937456,-0.130509528816777,-0.18922791460199,0.0208266132443232,-0.155132819964939,-0.127689070798466,0.129783845234641,-0.120613389355423,0.454175154485812,0.154348100273444,-0.0757045277017915,0.0719483928467494,-0.0548680128450756,0.293392078278064,-0.301196419929937,-0.188909268690701,0.123240075296831,0.173421695547104,-0.262779315047183,-0.195481505675828,0.0142309068604816,0.0558203687791245,0.000927067176709516,-0.000646330170514452,-0.00139320641499287,-0.00203097657630664,0.00106277407759745,0.000269164702810443,0.000578737741725888,0.000230006055572509,1.94180596349474e-14,-4.11965154846692e-16,2.18770082128725e-17,4.6978129436222e-16,-5.44201790207004e-16,-2.4854554985754e-16,5.08255856831575e-16,9.62460218046897e-17,-4.74104547269111e-16,"Asian SEA2a","DQ866106"
"DQ866108",-7.82679052196269,0.917573010587834,-1.17063839021948,-0.67930294122892,0.629665381944641,2.1452471509528,-0.0693780454794609,0.244226488848878,-1.55835911450622,-0.731405235212085,0.591034999565085,-0.626624735560809,0.434766397993402,-0.0621885460933496,0.0798082629288821,0.0565096173166033,0.205084796204227,-0.593274542127707,-0.413730526048897,-0.558101940223026,-0.590707440541416,-0.181244581642303,-0.311016118054087,-0.182646519942951,-0.36559900298557,-0.117599117440387,0.177889880370164,-0.0614420320438405,0.16312237927999,0.13005494557528,0.333764191782102,-0.1071929499352,0.0931289724008638,0.323670059717448,0.209029078968205,-0.037072638434054,0.296977560148658,-0.036498944929138,0.0777600047764356,-0.10899740889416,0.000377063487792775,0.00233806341554876,0.0004798758362525,0.000980325676440915,0.00143632280571558,0.000898542110161411,-0.000570727985711693,0.000382472756689232,1.88453301599496e-14,-4.38646844186806e-16,6.08718744140645e-16,1.29212828484262e-16,-1.40000662112566e-16,-6.12521374011169e-16,2.89111247459314e-16,-7.01965919709636e-16,-7.11883759212275e-16,"Asian SEA2a","DQ866108"
"DQ866109",-8.1002046163164,1.04046332528161,-1.49264659376507,-0.765983743442056,1.20179812686717,2.32757967955924,-0.724163690593714,0.587292134953659,-1.3111923754609,-0.507995636278718,0.581427120170549,-0.303972886604606,0.163955998092441,-0.0429882750016135,0.149023891918902,0.255091243528485,0.39956430650994,-0.352448181197249,-0.0286117203796793,-0.335818880567805,-0.648533490730408,-0.0299409533660506,0.0686352003986336,-0.0772419387839498,-0.115253132049774,0.200538665380066,0.13516121076384,0.113010003053882,0.0694874488870805,-0.0629374500756131,0.127406493999028,-0.144876533582681,0.148376172871116,0.378741432226216,0.00367837255730061,0.22058754556987,0.0599075118688453,-0.285927665320101,-0.146177156535782,0.104157971101074,0.00119699845842758,0.00119786656716363,0.000385033309122548,0.000215893220335377,-0.000549277763182987,0.000528682013401936,-1.25945331697844e-05,0.000232858458723601,1.85122632525621e-14,-9.93758356499384e-16,2.75651836753098e-16,1.77785085811613e-16,-5.67339352656791e-17,-5.57010222779911e-16,4.00133549921829e-16,-3.68899012322089e-16,-4.89839154287244e-16,"Asian SEA2a","DQ866109"
"DQ866110",-7.04781733347447,0.634339635605417,-1.63191382565852,0.3191472457387,0.012894557241653,1.65645924290458,0.453797469272067,-1.06590489396502,-1.10411700624885,-0.381962212138022,-0.95012409132001,0.539624617873107,0.266801162788374,0.541013665478064,-0.0996085594710777,-0.742742514579836,-0.37102108169853,0.73071647598311,-0.560655152224799,-0.321665791001972,0.191045287115987,-0.40542000939298,-0.312551629962284,0.341627820357001,0.0112712043270664,0.526400460731676,0.0559384130183063,0.474664919462843,-0.508096650269494,0.0881714934016911,0.197336068995032,-0.0364736776653537,-0.0267997085489906,-0.019972750852371,0.135948800352182,-0.277627148581876,-0.0553614293727081,-0.191920165328492,-0.0806940943179126,-0.0909639150371126,-0.00525460678341422,-0.000414466199958796,-0.000304071381919785,0.00113236012626599,0.000353784159445535,-0.000911590798737078,0.000198456447005129,4.83405208739966e-05,1.91546484284043e-14,-5.15956223260985e-16,-8.84570578469447e-16,2.93125060777954e-16,3.05791512536641e-16,-2.45220405538271e-16,-2.79511492492207e-16,-6.17216873660853e-16,6.79537308436271e-17,"Asian SEA2a","DQ866110"
"DQ866112",-8.1628537454541,0.854196189348187,-1.59764362207456,-0.408570403497457,1.74745754661135,2.0612369754031,-1.02529329474465,0.719324944205823,-1.08443526390213,-0.293683692366631,1.27647667998051,-0.33726232451436,-0.324424588724638,-0.204719636502435,0.588825052932492,-0.0628201091440443,0.376661584000712,-0.462897203330365,0.0872860773256954,-0.361493724614316,-0.284324390595794,0.268090545953188,0.153245635231749,-0.317557386779423,-0.365960145367856,0.428663387031424,-0.368838324519011,0.208068025557464,-0.0898177355062593,-0.52405047206781,-0.378051542399246,-0.373317619063743,0.0471866640025724,-0.355633963735416,-0.037861299193602,-0.181675063630727,0.123815742428115,-0.136762499205296,-0.0831496458530311,-0.191788505454357,0.000396540947497738,0.00103942847025472,0.00063442809572556,2.47278369203889e-05,-0.000469557426336157,-8.20485130377438e-05,-0.000110748578551086,3.99454815643371e-05,1.91667240410229e-14,-3.93876463403589e-16,4.38905177946058e-17,2.5165943532702e-16,1.14965894243702e-16,-4.86984713752186e-16,8.5619027388682e-17,-1.09149133020056e-16,-3.44454999445839e-16,"Asian SEA2a","DQ866112"
"DQ866116",-6.82675115177363,0.103236802449478,-1.52228319441065,-0.081379423257171,-0.307934992771912,1.09653256008418,-0.295617529528117,-1.33339527440636,-1.69252014150278,-1.12543512161399,0.263424425339385,0.104071825890473,0.433422365819103,0.757963850175144,-0.781271921705767,-0.0713480787803801,-0.272741519439576,0.642986336169805,0.292005989464472,-0.673748736030232,-0.217448364527186,-0.0490426583779892,0.0658720539879193,-0.173569617071352,-0.280663734588176,-0.192564547794062,-0.163785711888088,-0.0748137295905727,0.114475238879781,0.100067599971697,0.213815803010885,0.398040132800788,-0.136046584813419,-0.15074871321871,0.11150059251269,0.432108619454225,0.167680608528066,8.07314860443342e-05,0.137694431110818,-0.0602668771658347,-0.00419540525916216,-0.000889550595050993,-0.00053610944914956,-0.000306951167355248,-0.000622945495096374,-0.00073893973363687,-0.000195522559704352,0.000209701483182083,1.90056680397769e-14,-5.73941573234469e-16,-3.77603250065673e-16,6.24014220060826e-16,-3.09137933235099e-16,-3.37711590984121e-16,2.73320547355621e-16,1.7630913752077e-16,-4.60488509737523e-16,"Asian SEA2a","DQ866116"
"DQ866119",-7.73160341102706,1.04718647297509,-1.7381436700875,-0.820965121619745,1.46087438915331,2.41108591906888,-1.07285561585785,0.564890393438471,-0.983630909161458,-0.411331337815331,0.682316710051348,-0.143609242599699,0.162141920041491,-0.744737839312912,0.297187152364345,0.418281962757373,0.405307237429272,-0.349831123451542,0.097975068029609,-0.229058742744176,-0.372754429164018,0.142824315490844,0.228488038180279,-0.109454458504488,0.238829339068105,0.441576853710435,0.213747564221065,0.370257929104368,-0.18714131183516,0.139825351469428,0.0995064910048449,-0.243767370115724,-0.11141426493316,0.458178912784939,-0.0979812833950282,-0.510498055795709,-0.0602050364577001,-0.249774612765707,0.00642869257307851,-0.210327824508652,3.23042337053633e-05,0.00116704243158377,0.000907127392615719,0.000699883913396017,-0.00014308376524774,0.00053946656452135,0.000193447669573278,0.000213630681169979,1.93465010666823e-14,-2.43684708649736e-16,-1.53072865192769e-16,2.71916854296484e-16,2.14927991462784e-17,-4.98013810396942e-16,-1.06094437895219e-16,-6.15181156093197e-16,-2.78374828312041e-16,"Asian SEA2a","DQ866119"
