"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","clade","Accession"
"DQ666289",-8.01893063723497,-0.938938383998104,-1.30993465271046,-0.397854309443413,2.18006969556752,-2.9001893820902,1.41597702093979,-0.599372298863197,0.582048074357885,0.101037573590753,0.420531362151135,0.706879831910583,-0.196881836956401,0.979039763616763,0.257020168875535,0.479687906247543,-0.497110096305113,1.07339921309492,0.300202700018103,0.390189213199112,0.157626505872637,0.502095218517868,0.709471322303251,-0.0749598767014988,0.381785606048917,0.245265304450646,-0.523040829679035,0.092161407861744,0.323466294764233,0.445112276032049,-0.403449678004867,-0.0698323243237554,0.108951406704792,-0.53707927333931,-0.378881603000376,-0.122212140646523,0.477748795235661,-0.25847718930807,0.00417683007546374,0.45054547987288,0.130525417544328,1.20771431135632e-14,-2.50144872469203e-16,-1.19803010926864e-15,-4.59996823628673e-16,2.38035518168353e-15,-1.24764159794749e-15,-3.80812197911555e-15,8.57346020007963e-16,9.75659507987766e-16,-2.79532736357148e-15,-1.33811673095648e-15,2.988672804998e-15,1.51287590015709e-15,-4.44184232386958e-16,4.47280776556468e-16,1.11493046695934e-15,6.1182659986916e-16,1.23614379594042e-15,"Asian SEA2a","DQ666289"
"DQ666290",-7.84445383155235,-0.636352109913851,-1.60006020313973,0.10313517099982,1.28067574202197,-2.77813161292857,0.889487332509485,-0.772718422525885,0.610824772624172,0.4896460961508,-0.718042805866827,0.3514852579137,-0.566866381842699,0.631721788814816,0.262656149316059,0.0700353944700203,0.0486773193134549,0.435987619585464,0.234585683375442,0.557134767423065,-0.269553512023689,0.569348693752381,0.309185038937732,0.0312840784683043,-0.163475206458409,0.195103754702361,-0.267060859872129,0.177383645809015,0.139688880137276,0.0536062463509446,-0.264074464218978,-0.118073878313281,-0.0475076471865754,-0.417015456897325,0.0856641333054467,-0.252627156971212,0.138993607826238,-0.151636258094838,-0.0690497158299036,0.0338334242875204,0.0777883978482852,1.55191462646241e-14,2.77331499293137e-15,9.81642035527443e-16,6.18684942697427e-16,2.29488918130564e-15,-1.13694322357711e-15,-2.3807656548288e-15,1.45265879611494e-15,2.01534805144221e-16,-2.10427941955024e-15,-1.5983939518925e-15,2.52001900795664e-15,7.21816903052475e-16,-5.6949020049085e-16,5.9332195586798e-16,1.21045824519145e-15,5.51389961837881e-16,1.01569480334238e-15,"Asian SEA2a","DQ666290"
"DQ866105",-7.00752786301443,-0.194066393698458,-1.58659414289245,0.598738155613976,2.39774175701772,-2.8387671457152,1.06205616109676,-0.0910479191210882,-0.488931902034745,0.777033792179772,-0.600447937999869,0.214070367727268,-0.368517436934251,-0.449109285902323,0.156618396153516,-0.340814885948224,-0.00650683468672375,-0.623408313037981,0.00679100180649744,1.04500276158532,0.559994896456379,0.178726377218766,0.774024472215639,-0.513510524909344,-0.0879001908832389,-0.190056073227306,0.380143856609348,0.368967713357021,0.556885978971873,-0.260394266403897,0.169097792973048,-0.784959495835631,0.232862849873414,0.132071546715534,0.220202320024865,0.161183060378067,0.336873924384061,0.33547995705198,0.317368362509243,-0.290858908190218,0.228026600061182,1.98143243350378e-14,6.46208385892521e-15,3.91820698578564e-15,2.39197451792366e-15,7.90850747842314e-16,-3.2021068025096e-17,-2.15141721981522e-15,2.33549533953435e-15,-8.08253731014994e-16,-2.3464255077083e-15,-3.82850838245471e-15,2.5147421374529e-15,5.59165768863667e-16,-3.05006985729177e-16,5.32799071578884e-16,8.86277196884844e-16,-3.00611373936809e-18,7.89872499688397e-16,"Asian SEA2a","DQ866105"
"DQ866106",-7.73899311362166,-0.78624219063152,-1.57608112069744,-0.858167646721939,1.83748200310036,-2.46183553745606,0.859030087134878,-0.89874150213269,1.04018366385704,0.902944824996011,-0.720998783636458,0.904236792458392,0.0160695264201128,0.258077017412255,0.104491312058572,0.0708668040187107,0.125079371396566,0.617771614424193,-0.126963594562347,0.0848884861480235,0.0464484319025403,0.250703462151612,-0.0360536052461039,0.0836107823170737,-0.00389563790306694,0.123379626814048,0.397472924779097,0.331950245866231,-0.0889067330195628,-0.0888642550501756,0.0800016259299396,0.0357519328883076,-0.158111544950425,-0.219271082455649,0.2699405787822,0.183888885401382,0.321738198906543,0.177554778318016,0.135132105184741,-0.205375450913556,-0.276107175197835,1.67903733118633e-14,4.86083785583496e-15,-6.12135158026248e-16,4.08813189465104e-15,2.10060015199623e-15,-8.22313501832095e-17,-1.96096257364241e-15,8.09076386527548e-16,-8.00268002232385e-16,-1.85025085053688e-15,-1.22759680890245e-15,1.70990314467547e-15,3.36708291385624e-16,-3.56119212945703e-16,7.11662622994772e-16,1.02852912064838e-15,2.30682959216669e-16,7.57681791345146e-16,"Asian SEA2a","DQ866106"
"DQ866108",-7.79834146956628,-0.92557694697296,-1.19077429085158,-0.581698514329155,0.476406800570236,-2.20930393371865,0.0428155075709235,-0.348495681366356,0.928700028640625,1.48078525496907,-0.154037965300299,0.797518655546107,-0.494010612247924,-0.0431990252205624,-0.0844224783485176,-0.0139461274993491,0.206257608819934,0.349927164798648,-0.540980302885259,-0.476852044152318,-0.545884852877062,0.599393056682851,-0.2439257637133,0.0217120555248075,0.170594682230646,-0.366594718543084,-0.010539906886778,0.173136664362618,0.130422938202817,-0.0782202984132809,0.00803442138699862,-0.393079804031831,0.0827329341527502,-0.101407638906117,-0.234344954132682,-0.119799830879828,-0.209747803831108,0.0301304578909601,0.126344806637884,0.0107373145653276,0.211026296262909,1.62963023818617e-14,4.32068833350268e-15,-3.14364744430119e-17,3.25546462618217e-15,3.08592308635106e-15,-6.92854013727046e-16,-1.84647082422794e-15,7.31013830108591e-16,-4.50721221823058e-16,-2.31244623666745e-15,-1.09879359081118e-15,1.63184058825651e-15,9.99372659208764e-16,-6.80512502953366e-16,7.32099833946124e-16,1.00402615155021e-15,1.07300751987819e-16,7.93650198417353e-16,"Asian SEA2a","DQ866108"
"DQ866109",-8.08062037607487,-1.03441137643286,-1.53210034445791,-0.672595296750074,1.1108330139621,-2.38610223740441,0.630558718874053,-0.656783538495749,0.939508097920683,1.17202567744256,-0.290945490382548,0.582461698078819,-0.146998118736782,0.0550785649798083,0.238758747158713,-0.0211793342784385,-0.0580867111662925,0.509992127698554,-0.291673002996887,-0.0728947159066287,-0.462639419658711,0.537382648493769,0.0784365110168913,0.125655415862178,-0.204238755183051,-0.0450035097823313,-0.140363797596482,0.116250423783463,-0.06618586690664,-0.011317040331345,-0.0755850109842588,-0.106146078761485,0.0446079469947608,0.0658601767117599,-0.215688992858762,-0.3205516124438,-0.062756785999346,0.284872701307862,0.197766420412657,0.154676036952434,-0.12740667055948,1.6573858138018e-14,3.80721018461355e-15,-1.00288162099002e-15,3.48444812501111e-15,3.62715681085583e-15,-8.03876316189561e-16,-1.81351107818438e-15,1.74409234007905e-15,-3.11943343744914e-16,-1.53529011942984e-15,-9.04504561501773e-16,2.02041864687532e-15,1.87522072451618e-16,-7.91534805415881e-16,8.70877712024269e-16,1.2286728416892e-15,2.18323054450334e-16,1.01569480334238e-15,"Asian SEA2a","DQ866109"
"DQ866110",-6.98773217556513,-0.917232324886334,-1.8224219923975,0.684516160695825,-0.142510951864231,-1.58738789859943,-0.29414747768003,0.943462134602426,0.505230796244052,1.16258539704292,0.465525141362768,-1.123752788017,-0.269057477529091,-0.576943388286574,-0.494686474849751,0.380692487341169,-0.139506665569716,-0.47350317910968,0.498033082443264,-0.904724818291248,0.0872392135595591,-0.113100634772563,-0.416557978050953,-0.270381492069541,-0.521277374548599,-0.00633999201334595,-0.167426948458543,0.142061492296827,-0.602537325589677,0.205908811367244,0.334972982630634,-0.221710442942065,0.00732415460011933,-0.0533114810943097,-0.0531389538398006,0.143449916796392,0.160332380672142,-0.117730832973661,0.256227275938258,0.223317728282122,0.113830718638108,1.33858728139368e-14,1.85812775368276e-15,-1.83326869881547e-15,3.0997416961222e-15,2.48394086039568e-15,-1.25326639511277e-15,-2.07367992404801e-15,1.08110396380131e-16,-9.79991355136698e-16,-3.17432228661823e-15,-5.42074757216645e-16,3.06291475586158e-15,6.56310283518368e-16,-5.25750548047226e-16,6.72552731612266e-16,1.39498485621504e-15,1.58323169526475e-16,4.62118182946029e-16,"Asian SEA2a","DQ866110"
"DQ866112",-8.10417344731925,-0.910013353145936,-1.63968345803935,-0.331148649609631,1.64389184630673,-2.11354292148279,0.873877701527292,-0.848616861094011,0.925010233240151,0.853002838797808,-0.860456909145997,0.979934356198281,0.308193722848266,0.230502345420946,-0.036594028092391,0.415783742124254,0.219488848091921,0.601543705415419,-0.206620787104662,0.103596021319266,-0.328977105532731,0.252590291824399,0.212523453573533,0.361084238934738,0.000278293818080082,-0.264693218191737,-0.533526853474866,-0.15624880323062,-0.380211831066032,0.282276293322875,-0.52752669489929,0.576548370457937,0.181871092275404,0.0892804034505026,0.0499256624717019,0.375362665677805,0.0916605640951787,0.0566425650860401,0.0858274285592775,0.122622758216976,0.200289815458492,1.60692162368346e-14,2.22427501278471e-15,-1.01415732358387e-15,2.49912519065629e-15,5.04654554097572e-16,-2.76520379492612e-16,-2.18972923203685e-15,1.79371764747967e-16,-4.03883687971685e-16,-1.9987865481674e-15,-9.78581451725573e-17,1.53990024402974e-15,9.4733095492946e-16,-4.83946649081744e-16,7.34864549485962e-16,1.29372497203833e-15,1.39609976727887e-16,8.61304413980448e-16,"Asian SEA2a","DQ866112"
"DQ866116",-6.68301893856165,-0.644735565381116,-1.88654375406253,0.52352450934428,-0.326069269736289,-0.934793710966027,0.621778271371197,1.11983698091708,0.402488412728074,2.40913139148495,-0.362275371545738,-0.254258375755316,-0.418359444479497,-0.92382767568563,-0.251201014863865,-0.47261769517803,0.253209138026892,-0.377295922364549,0.952812292740886,-0.1658010843231,-0.43953158013069,0.32966226237989,-0.0932706939283134,0.169858013670122,-0.0620172107532083,-0.271563657186564,0.286313575416215,-0.320708269074955,0.109549508188567,-0.315212563577684,0.110615042998688,-0.367086883118333,-0.129234258355149,-0.0287716131369819,0.0994945164664435,0.0747337628043821,-0.132293310961909,0.304013320958671,-0.128391143652675,-0.136317918516301,0.0611479731537671,1.59252476414113e-14,2.70657772366007e-15,5.16025643926025e-16,2.86669297742701e-15,2.72158873418293e-15,-1.24541858342117e-15,-1.55225347422373e-15,1.72137663371565e-15,-8.7309250815917e-17,-1.35164648351974e-15,-7.8690557794751e-16,2.18596771082461e-15,-1.06972244010572e-15,-4.91849432837572e-16,7.6851884512601e-16,1.22319056981505e-15,3.88186319047101e-16,5.36576830987196e-16,"Asian SEA2a","DQ866116"
"DQ866119",-7.72594653774205,-1.09862348535499,-1.84947177961598,-0.637675334596181,1.31970055621991,-2.52086184841422,1.03439066966659,-0.710132375798105,0.820222447083918,0.858656724012559,-0.369319922306118,0.606507067292333,-0.143423670719172,0.78781294977989,0.233858763474364,-0.0684642214850794,0.177077645746613,0.525993733313264,-0.143539616686402,0.094855054644175,-0.385789230649864,0.229846290741726,0.238542435229004,0.257355632649008,-0.133851867935762,0.254532357384165,-0.314002100704816,0.405316297204586,-0.388598249391247,0.1510987823949,0.13623836018621,-0.111038096555556,0.146489947795253,-0.096755600817267,0.0651278238654501,-0.319900662942526,0.046420581600796,-0.3030287951536,0.453067779288874,0.209882733492239,0.236631467931801,1.55191462646241e-14,2.89127618929779e-15,-3.78381169638373e-16,1.48604668068583e-15,3.11367866196669e-15,-1.09530986015366e-15,-2.69648532745658e-15,1.03632516188051e-15,-4.22965646207429e-16,-2.71490208309407e-15,-8.28176728558793e-16,1.60408501264088e-15,1.36019514221194e-15,-6.96125014237157e-16,6.9198435356416e-16,1.21219296866742e-15,1.81893861454821e-16,8.93396798286019e-16,"Asian SEA2a","DQ866119"
