"","accessions","hosts","cpg","gc","cpg_actual"
"1","AB284509","Dog (AF1b)",0.588420766512639,0.449371766444937,40
"2","AB284510","Dog (AF1b)",0.588420766512639,0.449371766444937,40
"3","AB284511","Dog (AF1b)",0.575480957989792,0.448632668144863,39
"4","AB284512","Dog (AF1b)",0.605560771128529,0.448632668144863,41
"5","AB284513","Dog (AF1b)",0.575744680851064,0.448632668144863,39
"6","AB284514","Dog (AF1b)",0.605560771128529,0.448632668144863,41
"7","AB285215","Dog (AF1b)",0.588420766512639,0.449371766444937,40
"8","EU853582","Dog (AF1b)",0.534994068801898,0.447154471544715,36
"9","EU853584","Dog (AF1b)",0.627010923535253,0.445676274944568,42
"10","EU853585","Dog (AF1b)",0.627010923535253,0.445676274944568,42
"11","EU853586","Dog (AF1b)",0.614012950356965,0.444937176644494,41
"12","EU853587","Dog (AF1b)",0.60808305524657,0.441980783444198,40
"13","EU853588","Dog (AF1b)",0.60808305524657,0.441980783444198,40
"14","EU853589","Dog (AF1b)",0.60808305524657,0.441980783444198,40
"15","EU853590","Dog (AF1b)",0.609995266112126,0.441241685144124,40
"16","HM179504","Dog (AF1b)",0.596372061482821,0.44050258684405,39
"17","HM179505","Dog (AF1b)",0.627010923535253,0.445676274944568,42
"18","HM179506","Dog (AF1b)",0.539330321551953,0.444937176644494,36
"19","KF155002","Dog (AF1b)",0.558750652060511,0.449371766444937,38
"20","KR534217","Dog (AF1b)",0.550847271126761,0.446415373244642,37
"21","KR534218","Dog (AF1b)",0.537853356890459,0.445676274944568,36
"22","KR534219","Dog (AF1b)",0.587924528301887,0.438285291943829,38
"23","KR534220","Dog (AF1b)",0.537853356890459,0.445676274944568,36
"24","KR534228","Dog (AF1b)",0.601504702194357,0.439024390243902,39
"25","KR534229","Dog (AF1b)",0.563972620771357,0.447154471544715,38
"26","KR534230","Dog (AF1b)",0.619118303571429,0.443458980044346,41
"27","KR534231","Dog (AF1b)",0.601504702194357,0.439024390243902,39
"28","KR534233","Dog (AF1b)",0.551071629074337,0.446415373244642,37
"29","KR534238","Dog (AF1b)",0.588220488295998,0.438285291943829,38
"30","KR534244","Dog (AF1b)",0.563972620771357,0.447154471544715,38
"31","KR534247","Dog (AF1b)",0.563972620771357,0.447154471544715,38
"32","KR534249","Dog (AF1b)",0.563972620771357,0.447154471544715,38
"33","KR534250","Dog (AF1b)",0.574766355140187,0.448632668144863,39
"34","KR534251","Dog (AF1b)",0.601504702194357,0.439024390243902,39
"35","KR534252","Dog (AF1b)",0.612189493688068,0.44050258684405,40
"36","KR534253","Dog (AF1b)",0.537853356890459,0.445676274944568,36
"37","KR906734","Dog (AF1b)",0.587924528301887,0.438285291943829,38
"38","KR906735","Dog (AF1b)",0.59023687998953,0.448632668144863,40
"39","KR906736","Dog (AF1b)",0.592064238751108,0.447893569844789,40
"40","KR906739","Dog (AF1b)",0.611919541399545,0.44050258684405,40
"41","KR906741","Dog (AF1b)",0.556728202846975,0.44419807834442,37
"42","KR906742","Dog (AF1b)",0.558750652060511,0.449371766444937,38
"43","KR906743","Dog (AF1b)",0.601504702194357,0.439024390243902,39
"44","KR906744","Dog (AF1b)",0.598767673558314,0.439763488543976,39
"45","KR906745","Dog (AF1b)",0.536177801261517,0.446415373244642,36
"46","KR906746","Dog (AF1b)",0.580850703270632,0.44050258684405,38
"47","KR906747","Dog (AF1b)",0.59214247239429,0.441980783444198,39
"48","KR906748","Dog (AF1b)",0.57902102755095,0.435328898743533,37
"49","KR906749","Dog (AF1b)",0.571774911032028,0.44419807834442,38
"50","KR906750","Dog (AF1b)",0.558750652060511,0.449371766444937,38
"51","KR906751","Dog (AF1b)",0.591923271075215,0.441980783444198,39
"52","KR906752","Dog (AF1b)",0.57902102755095,0.435328898743533,37
"53","KR906754","Dog (AF1b)",0.558750652060511,0.449371766444937,38
"54","KR906755","Dog (AF1b)",0.563972620771357,0.447154471544715,38
"55","KR906756","Dog (AF1b)",0.5472044597475,0.447893569844789,37
"56","KR906757","Dog (AF1b)",0.561568231532896,0.441980783444198,37
"57","KR906759","Dog (AF1b)",0.601813412408759,0.439024390243902,39
"58","KR906760","Dog (AF1b)",0.551071629074337,0.446415373244642,37
"59","KR906762","Dog (AF1b)",0.575230017878167,0.448632668144863,39
"60","KR906763","Dog (AF1b)",0.591811740005249,0.447893569844789,40
"61","KR906765","Dog (AF1b)",0.588420766512639,0.449371766444937,40
"62","KR906766","Dog (AF1b)",0.589979505516068,0.448632668144863,40
"63","KR906767","Dog (AF1b)",0.536177801261517,0.446415373244642,36
"64","KR906768","Dog (AF1b)",0.558750652060511,0.449371766444937,38
