sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB284509	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	1353	29-Nov-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV51/00
AB284510	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	1999	1999	1999	1353	29-Nov-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV30/99
AB284511	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	1353	29-Nov-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV20/00
AB284512	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2005	2005	2005	1353	29-Nov-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV08/05
AB284513	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2005	2005	2005	1353	29-Nov-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV05/06
AB284514	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2004	2004	2004	1353	29-Nov-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV23/04
AB285215	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	5339	02-Dec-2006	16-Jan-2009	Canis lupus familiaris	-	ZAMRAV51/00
EU853582	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	RWA	Rwanda	-	1995	1995	1995	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	94289RWD
EU853584	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2004	2004	2004	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07152RCA
EU853585	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2005	2005	2005	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07154RCA
EU853586	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2003	2003	2003	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07128RCA
EU853587	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2006	2006	2006	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07158RCA
EU853588	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2006	2006	2006	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07159RCA
EU853589	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2007	2007	2007	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07189RCA
EU853590	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	2000	2000	2000	1353	23-Mar-2009	23-Mar-2009	Canis familiaris	19264663	07072RCA
HM179504	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2006	2006	2006	1353	30-Apr-2012	09-Jun-2013	Canis familiaris	23718883	262/06
HM179505	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2004	2004	2004	1353	30-Apr-2012	09-Jun-2013	Canis familiaris	23718883	567/04
HM179506	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	1996	1996	1996	1353	30-Apr-2012	09-Jun-2013	Canis familiaris	23718883	479/96
KF155002	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2010	2010	2010	11923	13-Jul-2013	13-Jul-2013	Canis familiaris	23822119	RV2772
KR534217	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2008	2008	2008	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2490
KR534218	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2008	2008	2008	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2491
KR534219	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2007	2007	2007	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2492
KR534220	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2008	2008	2008	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2493
KR534228	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2010	2010	2010	11914	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2788
KR534229	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2010	2010	2010	11849	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2789
KR534230	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2010	2010	2010	11885	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2790
KR534231	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2010	2010	2010	11884	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2791
KR534233	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2794
KR534238	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11867	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2800
KR534244	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11914	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2889
