Accession,Hamming
AY352488,0.771151886
AY352501,0.771151886
JN258588,0.770897044
JN258592,0.770642202
JX987747,0.771151886
KU198460,0.771151886
KU198462,0.771151886
KU198464,0.77166157
KU198466,0.770897044
KU198467,0.770897044
KU198472,0.77038736
KU198476,0.770897044
KU198477,0.770897044
KU198478,0.771151886
KX036361,0.771151886
KX036362,0.771151886
KX036364,0.770642202
KX036365,0.770132518
KX036366,0.771151886
KX954123,0.771151886
LT598537,0.771151886
LT598538,0.770897044
LT598539,0.770897044
LT598540,0.770897044
LT598541,0.770897044
LT598543,0.771406728
LT909550,0.771151886
MG458313,0.771151886
MN233885,0.770912789
MN233886,0.770897044
MN233892,0.770897044
MN233896,0.770897044
MN233900,0.770897044
MN233948,0.770897044
MN233949,0.771151886
MN233950,0.771151886
MN233952,0.770897044
MN233953,0.77166157
MN233955,0.77166157
MN233956,0.770642202
MN233958,0.77166157
MN233960,0.770897044
MN233963,0.770897044
MN233967,0.771151886
MN233968,0.771151886
MN233969,0.771151886
MN233973,0.770897044
MN233974,0.770897044
MN233975,0.770897044
MN233977,0.770897044
MN233978,0.770642202
MN233982,0.770897044
MN233985,0.770897044
MN233988,0.770897044
MN233991,0.771406728
MN233992,0.771151886
MN233998,0.770897044
MN234000,0.770642202
MN234002,0.770897044
MN234004,0.770897044
MN234008,0.770897044
MN234016,0.770897044
MN234017,0.771151886
MN234018,0.771916412
MN234023,0.770897044
MN234043,0.770897044
MN234046,0.771151886
MN234055,0.770897044
MN384717,0.770642202
DQ666289,0.772413793
DQ666290,0.773169483
DQ866105,0.77394636
DQ866106,0.772924649
DQ866108,0.772413793
DQ866109,0.772413793
DQ866110,0.772413793
DQ866112,0.772924649
DQ866116,0.772413793
DQ866119,0.772924649
EU086182,0.772924649
EU086183,0.771392082
EU828653,0.772413793
FJ561726,0.772145417
FJ561727,0.772426096
FJ561728,0.771889401
FJ866829,0.771105979
FJ866830,0.772645625
FJ866831,0.771902937
GQ472468,0.772669221
GQ472470,0.772924649
GQ472473,0.772924649
GQ472477,0.772924649
GU358653,0.771902937
HM486355,0.773180077
HM486356,0.773180077
HM486368,0.773435504
HM486369,0.773180077
HM486374,0.773180077
HM486379,0.772669221
HM486381,0.771392082
JF819605,0.770881226
JF819615,0.772924649
JN974823,0.772924649
JN974824,0.772413793
JN974828,0.772924649
JN974829,0.772924649
JN974838,0.772413793
JN974842,0.772413793
JN974845,0.773435504
JN974870,0.774457216
JN974871,0.773180077
JN974872,0.773435504
JN974873,0.772669221
JQ970480,0.773435504
KT221107,0.773690932
KT894558,0.772413793
KT894572,0.772413793
KT894573,0.772924649
KT894577,0.772669221
KT894578,0.772669221
KX148264,0.772413793
KY451767,0.772426096
MG201879,0.772680938
MG201880,0.772413793
MG201884,0.772924649
MG201919,0.772924649
MG201921,0.773180077
MN784132,0.772924649
FJ598135,0.773435504
FJ712195,0.772913466
FJ712196,0.772924649
FJ719751,0.772669221
FJ719753,0.773435504
FJ719755,0.772924649
GU647092,0.773435504
HQ118114,0.772924649
JN974877,0.772924649
JQ950446,0.772158365
JQ950448,0.772669221
