"","Accession","Year","Clade","Host","Group","purines","purines1","purines2","purines3"
"1","DQ666289",NA,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"2","DQ666290",NA,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"3","DQ866105",2004,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.490022172949002,0.465631929046563
"4","DQ866106",2003,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"5","DQ866108",2003,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"6","DQ866109",2003,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"7","DQ866110",2004,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"8","DQ866112",2004,"Asian SEA2a","Dog","Carnivore",0.529933481152993,0.631929046563193,0.485587583148559,0.472283813747228
"9","DQ866116",2003,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"10","DQ866119",2005,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"11","EU086182",1994,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"12","EU086183",1994,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.483370288248337,0.470066518847007
"13","EU159386",1994,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"14","EU828653",2007,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"15","FJ561726",2008,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"16","FJ561727",2008,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"17","FJ561728",2008,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
