"","Accession","Clade","Year","Host","purines","purines1","purines2","purines3"
"1","LT598537","Arctic A","1977","Vulpes lagopus",0.536585365853659,0.631929046563193,0.483370288248337,0.494456762749446
"2","AY352488","Arctic A","1988","Vulpes lagopus",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"3","KU198460","Arctic A","1989","Alopex lagopus",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"4","KU198462","Arctic A","1990","Alopex lagopus",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"5","KX036361","Arctic A","1990","Arctic fox",0.536585365853659,0.631929046563193,0.483370288248337,0.494456762749446
"6","MN233948","Arctic A","1990","arctic fox",0.536585365853659,0.631929046563193,0.483370288248337,0.494456762749446
"7","MN233949","Arctic A","1990","arctic fox",0.536585365853659,0.631929046563193,0.483370288248337,0.494456762749446
"8","KU198464","Arctic A","1991","Alopex lagopus",0.536585365853659,0.631929046563193,0.483370288248337,0.494456762749446
"9","MN233950","Arctic A","1992","arctic fox",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"10","KU198466","Arctic A","1993","Alopex lagopus",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"11","MN233952","Arctic A","1993","arctic fox",0.532889874353289,0.631929046563193,0.481152993348115,0.485587583148559
"12","MN233953","Arctic A","1993","arctic fox",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"13","MN233955","Arctic A","1993","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"14","MN233956","Arctic A","1993","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"15","MN234016","Arctic A","1993","arctic fox",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"16","MN233958","Arctic A","1994","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"17","MG458313","Arctic A","1996","arctic fox",0.535107169253511,0.629711751662971,0.483370288248337,0.492239467849224
"18","MN234017","Arctic A","1996","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"19","KU198467","Arctic A","1997","Alopex lagopus",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"20","MN233960","Arctic A","1998","arctic fox",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"21","MN233974","Arctic A","1999","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"22","MN233975","Arctic A","1999","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"23","MN234018","Arctic A","1999","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"24","LT909550","Arctic A","2000","Vulpes lagopus",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"25","KX036362","Arctic A","2001","Arctic fox",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"26","MN233963","Arctic A","2001","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"27","KX036364","Arctic A","2002","Arctic fox",0.536585365853659,0.631929046563193,0.483370288248337,0.494456762749446
"28","KX036365","Arctic A","2002","Arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"29","KX036366","Arctic A","2002","Arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"30","MN233977","Arctic A","2002","arctic fox",0.535107169253511,0.629711751662971,0.483370288248337,0.492239467849224
"31","MN234023","Arctic A","2002","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"32","MN233978","Arctic A","2004","arctic fox",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"33","MN233982","Arctic A","2006","arctic fox",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"34","JN258588","Arctic A","2007","arctic fox",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"35","MN233900","Arctic A","2007","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"36","MN233967","Arctic A","2007","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"37","MN233985","Arctic A","2007","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"38","JN258592","Arctic A","2008","arctic fox",0.535107169253511,0.629711751662971,0.483370288248337,0.492239467849224
"39","MN233968","Arctic A","2008","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"40","MN233969","Arctic A","2008","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"41","MN233988","Arctic A","2008","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"42","KU198472","Arctic A","2012","Alopex lagopus",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"43","MN233885","Arctic A","2012","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"44","MN233886","Arctic A","2012","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"45","MN233892","Arctic A","2012","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"46","MN233896","Arctic A","2012","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"47","MN233991","Arctic A","2012","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"48","MN233992","Arctic A","2012","arctic fox",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"49","MN234043","Arctic A","2012","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"50","MN234046","Arctic A","2012","arctic fox",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"51","KU198476","Arctic A","2013","Alopex lagopus",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"52","KU198477","Arctic A","2013","Alopex lagopus",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"53","KU198478","Arctic A","2013","Alopex lagopus",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"54","LT598538","Arctic A","2013","Vulpes lagopus",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"55","LT598539","Arctic A","2013","Vulpes lagopus",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"56","LT598541","Arctic A","2013","Vulpes lagopus",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"57","MN233973","Arctic A","2013","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"58","LT598540","Arctic A","2014","Vulpes lagopus",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"59","LT598543","Arctic A","2014","Vulpes lagopus",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"60","MN233998","Arctic A","2014","arctic fox",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"61","MN234000","Arctic A","2015","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"62","MN234002","Arctic A","2015","arctic fox",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"63","MN234004","Arctic A","2015","arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"64","KX954123","Arctic A","2016","Vulpes lagopus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"65","MN234008","Arctic A","2017","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"66","MN234055","Arctic A","2017","arctic fox",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"67","MN384717","Arctic A","2017","Vulpes lagopus",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"68","AY352501","Arctic A","-","Vulpes lagopus",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"69","JX987747","Arctic A","-","Arctic fox",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"70","EU086182","Asian SEA2a","1994","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"71","EU086183","Asian SEA2a","1994","Canis familiaris",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"72","GU358653","Asian SEA2a","1994","Canis familiaris",0.529194382852919,0.631929046563193,0.490022172949002,0.465631929046563
"73","KX148264","Asian SEA2a","1994","Canis familiaris",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"74","DQ866106","Asian SEA2a","2003","Canis familiaris",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"75","DQ866108","Asian SEA2a","2003","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"76","DQ866109","Asian SEA2a","2003","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"77","DQ866116","Asian SEA2a","2003","Canis familiaris",0.529933481152993,0.631929046563193,0.485587583148559,0.472283813747228
"78","JN974870","Asian SEA2a","2003","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"79","JN974871","Asian SEA2a","2003","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"80","JN974872","Asian SEA2a","2003","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"81","DQ866105","Asian SEA2a","2004","Canis familiaris",0.528455284552846,0.631929046563193,0.483370288248337,0.470066518847007
"82","DQ866110","Asian SEA2a","2004","Canis familiaris",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"83","DQ866112","Asian SEA2a","2004","Canis familiaris",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"84","HM486355","Asian SEA2a","2004","Canis familiaris",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"85","HM486356","Asian SEA2a","2004","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"86","JN974873","Asian SEA2a","2004","Canis familiaris",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"87","DQ866119","Asian SEA2a","2005","Canis familiaris",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"88","HM486368","Asian SEA2a","2005","Canis familiaris",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"89","JN974824","Asian SEA2a","2005","Canis familiaris",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
