Accession,Clade,Year,Host
LT598537,Arctic A,1977,Vulpes lagopus
AY352488,Arctic A,1988,Vulpes lagopus
KU198460,Arctic A,1989,Alopex lagopus
KU198462,Arctic A,1990,Alopex lagopus
KX036361,Arctic A,1990,Arctic fox
MN233948,Arctic A,1990,arctic fox
MN233949,Arctic A,1990,arctic fox
KU198464,Arctic A,1991,Alopex lagopus
MN233950,Arctic A,1992,arctic fox
KU198466,Arctic A,1993,Alopex lagopus
MN233952,Arctic A,1993,arctic fox
MN233953,Arctic A,1993,arctic fox
MN233955,Arctic A,1993,arctic fox
MN233956,Arctic A,1993,arctic fox
MN234016,Arctic A,1993,arctic fox
MN233958,Arctic A,1994,arctic fox
MG458313,Arctic A,1996,arctic fox
MN234017,Arctic A,1996,arctic fox
KU198467,Arctic A,1997,Alopex lagopus
MN233960,Arctic A,1998,arctic fox
MN233974,Arctic A,1999,arctic fox
MN233975,Arctic A,1999,arctic fox
MN234018,Arctic A,1999,arctic fox
LT909550,Arctic A,2000,Vulpes lagopus
KX036362,Arctic A,2001,Arctic fox
MN233963,Arctic A,2001,arctic fox
KX036364,Arctic A,2002,Arctic fox
KX036365,Arctic A,2002,Arctic fox
KX036366,Arctic A,2002,Arctic fox
MN233977,Arctic A,2002,arctic fox
MN234023,Arctic A,2002,arctic fox
MN233978,Arctic A,2004,arctic fox
MN233982,Arctic A,2006,arctic fox
JN258588,Arctic A,2007,arctic fox
MN233900,Arctic A,2007,arctic fox
MN233967,Arctic A,2007,arctic fox
MN233985,Arctic A,2007,arctic fox
JN258592,Arctic A,2008,arctic fox
MN233968,Arctic A,2008,arctic fox
MN233969,Arctic A,2008,arctic fox
MN233988,Arctic A,2008,arctic fox
KU198472,Arctic A,2012,Alopex lagopus
MN233885,Arctic A,2012,arctic fox
MN233886,Arctic A,2012,arctic fox
MN233892,Arctic A,2012,arctic fox
MN233896,Arctic A,2012,arctic fox
MN233991,Arctic A,2012,arctic fox
MN233992,Arctic A,2012,arctic fox
MN234043,Arctic A,2012,arctic fox
MN234046,Arctic A,2012,arctic fox
KU198476,Arctic A,2013,Alopex lagopus
KU198477,Arctic A,2013,Alopex lagopus
KU198478,Arctic A,2013,Alopex lagopus
LT598538,Arctic A,2013,Vulpes lagopus
LT598539,Arctic A,2013,Vulpes lagopus
LT598541,Arctic A,2013,Vulpes lagopus
MN233973,Arctic A,2013,arctic fox
LT598540,Arctic A,2014,Vulpes lagopus
LT598543,Arctic A,2014,Vulpes lagopus
MN233998,Arctic A,2014,arctic fox
MN234000,Arctic A,2015,arctic fox
MN234002,Arctic A,2015,arctic fox
MN234004,Arctic A,2015,arctic fox
KX954123,Arctic A,2016,Vulpes lagopus
MN234008,Arctic A,2017,arctic fox
MN234055,Arctic A,2017,arctic fox
MN384717,Arctic A,2017,Vulpes lagopus
AY352501,Arctic A,-,Vulpes lagopus
JX987747,Arctic A,-,Arctic fox
EU086182,Asian SEA2a,1994,Canis familiaris
EU086183,Asian SEA2a,1994,Canis familiaris
GU358653,Asian SEA2a,1994,Canis familiaris
KX148264,Asian SEA2a,1994,Canis familiaris
DQ866106,Asian SEA2a,2003,Canis familiaris
DQ866108,Asian SEA2a,2003,Canis familiaris
DQ866109,Asian SEA2a,2003,Canis familiaris
DQ866116,Asian SEA2a,2003,Canis familiaris
JN974870,Asian SEA2a,2003,Canis familiaris
JN974871,Asian SEA2a,2003,Canis familiaris
JN974872,Asian SEA2a,2003,Canis familiaris
DQ866105,Asian SEA2a,2004,Canis familiaris
DQ866110,Asian SEA2a,2004,Canis familiaris
DQ866112,Asian SEA2a,2004,Canis familiaris
HM486355,Asian SEA2a,2004,Canis familiaris
HM486356,Asian SEA2a,2004,Canis familiaris
JN974873,Asian SEA2a,2004,Canis familiaris
DQ866119,Asian SEA2a,2005,Canis familiaris
HM486368,Asian SEA2a,2005,Canis familiaris
JN974824,Asian SEA2a,2005,Canis familiaris
JN974838,Asian SEA2a,2005,Canis familiaris
KT894558,Asian SEA2a,2005,Canis familiaris
GQ472477,Asian SEA2a,2006,Canis familiaris
HM486369,Asian SEA2a,2006,Canis familiaris
JN974828,Asian SEA2a,2006,Canis familiaris
JN974842,Asian SEA2a,2006,Canis familiaris
EU828653,Asian SEA2a,2007,Canis familiaris
FJ866829,Asian SEA2a,2007,Canis familiaris
FJ866830,Asian SEA2a,2007,Canis familiaris
FJ866831,Asian SEA2a,2007,Canis familiaris
GQ472468,Asian SEA2a,2007,Canis familiaris
GQ472470,Asian SEA2a,2007,Canis familiaris
GQ472473,Asian SEA2a,2007,Canis familiaris
HM486379,Asian SEA2a,2007,Canis familiaris
HM486381,Asian SEA2a,2007,Canis familiaris
FJ561726,Asian SEA2a,2008,Canis familiaris
FJ561727,Asian SEA2a,2008,Canis familiaris
FJ561728,Asian SEA2a,2008,Canis familiaris
HM486374,Asian SEA2a,2008,Canis familiaris
JN974823,Asian SEA2a,2008,Canis familiaris
JN974829,Asian SEA2a,2008,Canis familiaris
JN974845,Asian SEA2a,2008,Canis familiaris
JQ970480,Asian SEA2a,2008,Canis familiaris
KT221107,Asian SEA2a,2009,Canis familiaris
KT894572,Asian SEA2a,2010,Canis familiaris
MG201879,Asian SEA2a,2010,Canis familiaris
MG201880,Asian SEA2a,2010,Canis familiaris
KT894573,Asian SEA2a,2011,Canis familiaris
MG201919,Asian SEA2a,2011,Canis familiaris
MG201884,Asian SEA2a,2012,Canis familiaris
MG201921,Asian SEA2a,2012,Canis familiaris
KT894577,Asian SEA2a,2013,Canis familiaris
KT894578,Asian SEA2a,2013,Canis familiaris
KY451767,Asian SEA2a,2015,Canis familiaris
MN784132,Asian SEA2a,2016,Canis familiaris
DQ666289,Asian SEA2a,,Canis familiaris
DQ666290,Asian SEA2a,,Canis familiaris
JF819605,Asian SEA2a,,Canis familiaris
JF819615,Asian SEA2a,,Canis familiaris
FJ719755,Asian SEA2b,2008,ferret badger
FJ719753,Asian SEA2b,2008,ferret badger
FJ719751,Asian SEA2b,2008,ferret badger
FJ712196,Asian SEA2b,2008,Chinese ferret badger
FJ712195,Asian SEA2b,2008,Chinese ferret badger
JN974877,Asian SEA2b,2008,ferret badger
HQ118114,Asian SEA2b,2008,ferret badger
GU647092,Asian SEA2b,2008,Melogale moschata (Chinese ferret badger)
FJ598135,Asian SEA2b,2008,Melogale moschata (Chinese Ferret badger)
KP319191,Asian SEA2b,2009,Chinese ferret badger
KP319188,Asian SEA2b,2009,Chinese ferret badger
KP319187,Asian SEA2b,2009,Chinese ferret badger
KP319186,Asian SEA2b,2009,Chinese ferret badger
KP319185,Asian SEA2b,2009,Chinese ferret badger
KF726852,Asian SEA2b,2009,Melogale moschata (ferret badger)
KP319195,Asian SEA2b,2011,Chinese ferret badger
KP319194,Asian SEA2b,2011,Chinese ferret badger
KP319193,Asian SEA2b,2011,Chinese ferret badger
KP319199,Asian SEA2b,2012,Chinese ferret badger
JQ950448,Asian SEA2b,2012,ferret badger
JQ950446,Asian SEA2b,2012,Melogale
KP319207,Asian SEA2b,2013,Chinese ferret badger
KP319206,Asian SEA2b,2013,Chinese ferret badger
KP319205,Asian SEA2b,2013,Chinese ferret badger
KP319204,Asian SEA2b,2013,Chinese ferret badger
KP319203,Asian SEA2b,2013,Chinese ferret badger
KP319201,Asian SEA2b,2013,Chinese ferret badger
MT068615,Asian SEA2b,2017,ferret badger
MT068612,Asian SEA2b,2017,ferret badger
KP202393,Bats DR,1988,Desmodus rotundus
KF864234,Bats DR,1994,Desmodus rotundus
KF864322,Bats DR,2006,Desmodus rotundus
MW579824,Bats DR,2006,Desmodus rotundus
MW579833,Bats DR,2007,Desmodus rotundus
KF864397,Bats DR,2008,Desmodus rotundus
KT023101,Bats DR,2010,Desmodus rotundus
KF656696,Bats DR,2012,Desmodus rotundus
KM594040,Bats DR,2013,Desmodus rotundus
KM594041,Bats DR,2013,Desmodus rotundus
KM594042,Bats DR,2013,Desmodus rotundus
MW579820,Bats DR,2013,Desmodus rotundus
MW579786,Bats DR,2014,Desmodus rotundus
MT891038,Bats DR,2016,Desmodus rotundus
MW249020,Bats DR,2016,Desmodus rotundus
MN968374,Bats DR,2018,Desmodus rotundus
MN968375,Bats DR,2018,Desmodus rotundus
MN968377,Bats DR,2018,Desmodus rotundus
MN968386,Bats DR,2018,Desmodus rotundus
PQ379836,Bats DR,2021,Desmodus rotundus
PQ379834,Bats DR,2022,Desmodus rotundus
PQ671599,Bats DR,2022,Desmodus rotundus
PQ671601,Bats DR,2022,Desmodus rotundus
PQ379829,Bats DR,2023,Desmodus rotundus
PQ379831,Bats DR,2023,Desmodus rotundus
PQ379832,Bats DR,2023,Desmodus rotundus
PQ379849,Bats DR,2023,Desmodus rotundus
PQ510120,Bats DR,2024,Desmodus rotundus
PQ603086,Bats DR,2024,Desmodus rotundus
AB519642,Bats DR,,Desmodus rotundus
AF070449,Bats DR,,Desmodus rotundus
AF351847,Bats DR,,Desmodus rotundus
AF351852,Bats DR,,Desmodus rotundus
AY854587,Bats DR,,Desmodus rotundus
AY854592,Bats DR,,Desmodus rotundus
AY854594,Bats DR,,Desmodus rotundus
AY877433,Bats DR,,Desmodus rotundus
AY877434,Bats DR,,Desmodus rotundus
AY877435,Bats DR,,Desmodus rotundus
GU592648,Bats DR,,Desmodus rotundus
GU644657,Bats EF-E2,2003,Eptesicus fuscus
GU644658,Bats EF-E2,2003,Eptesicus fuscus
GU644659,Bats EF-E2,2003,Eptesicus fuscus
GU644660,Bats EF-E2,2003,Eptesicus fuscus
GU644661,Bats EF-E2,2003,Eptesicus fuscus
GU644662,Bats EF-E2,2003,Eptesicus fuscus
GU644663,Bats EF-E2,2003,Eptesicus fuscus
GU644664,Bats EF-E2,2003,Eptesicus fuscus
GU644684,Bats EF-E2,2003,Eptesicus fuscus
GU644652,Bats EF-E2,2004,Eptesicus fuscus
GU644676,Bats EF-E2,2004,Eptesicus fuscus
GU644677,Bats EF-E2,2004,Eptesicus fuscus
GU644689,Bats EF-E2,2004,Eptesicus fuscus
GU644690,Bats EF-E2,2004,Eptesicus fuscus
GU644654,Bats EF-E2,2005,Eptesicus fuscus
GU644655,Bats EF-E2,2005,Eptesicus fuscus
