acc	ApApos2	ApAbridge	ApCpos2	ApCbridge	ApGpos1	ApGpos2	ApGbridge	ApTpos2	ApTbridge	CpApos2	CpAbridge	CpCpos2	CpCbridge	CpGpos1	CpGpos2	CpGbridge	CpTpos1	CpTpos2	CpTbridge	GpApos2	GpAbridge	GpCpos2	GpCbridge	GpGpos2	GpGbridge	GpTpos2	GpTbridge	TpApos2	TpAbridge	TpCpos1	TpCpos2	TpCbridge	TpGpos2	TpGbridge	TpTpos1	TpTpos2	TpTbridge
DQ666289	0.446153846	0.207087334	0.576923077	0.130010205	0.430886671	0.553846154	0.386207737	0.423076923	0.188448439	0.255635211	0.195315654	0.204699645	0.143946729	0.304347826	0.10449721	0.125785565	0.628571429	0.307883815	0.222764889	0.44379651	0.218366907	0.083165887	0.090764817	0.311133333	0.191787942	0.182249966	0.149934405	0.308543639	0.101631504	0.710526316	0.235798179	0.342533798	0.303019261	0.378743286	0.516676696	0.25149617	0.100209504
DQ666290	0.454545455	0.200330688	0.5625	0.135641554	0.428013908	0.545454545	0.390788414	0.4375	0.195301805	0.259834211	0.194873616	0.215418521	0.161185385	0.304347826	0.101839871	0.127111259	0.628571429	0.305519613	0.220454186	0.419419866	0.225485229	0.086750104	0.091263575	0.324422691	0.184718241	0.175237002	0.148138401	0.318637395	0.103395755	0.722222222	0.236196392	0.33407118	0.292438522	0.382700131	0.515915211	0.251777999	0.101063645
DQ866105	0.447761194	0.203258024	0.567901235	0.133280114	0.420808274	0.552238806	0.347807489	0.432098765	0.216109625	0.259399762	0.193194233	0.205749292	0.151460845	0.304347826	0.102874646	0.13542624	0.628571429	0.313050231	0.221116615	0.389059399	0.232236001	0.09333639	0.093237066	0.33878746	0.207491776	0.171784952	0.139696081	0.305051334	0.096449614	0.72972973	0.227128109	0.34227441	0.307561166	0.391913614	0.517008245	0.259867242	0.101421053
DQ866106	0.447761194	0.197649902	0.5625	0.134870156	0.412938069	0.552238806	0.390762111	0.4375	0.19391293	0.257617021	0.198129985	0.206232475	0.158661828	0.304347826	0.105263158	0.12317411	0.657142857	0.314542441	0.216794423	0.419365185	0.222291929	0.093159515	0.094395761	0.324376197	0.184675486	0.163164612	0.15434948	0.318651685	0.096568549	0.736842105	0.236207166	0.345444258	0.289324636	0.384411784	0.493911357	0.251821322	0.100391445
DQ866108	0.484848485	0.201457636	0.5625	0.140518107	0.419824304	0.515151515	0.388848648	0.4375	0.194157397	0.258729654	0.19417711	0.20712226	0.158519538	0.304347826	0.105717032	0.125822833	0.657142857	0.31158817	0.212970031	0.419300223	0.219688229	0.085682843	0.088042548	0.324365359	0.188767518	0.173291613	0.154470961	0.314391588	0.103116793	0.72972973	0.234050753	0.345213054	0.301488945	0.378973087	0.494361446	0.249632195	0.100992997
DQ866109	0.462686567	0.198412103	0.5625	0.138125692	0.420180283	0.537313433	0.387858886	0.4375	0.191506377	0.258685785	0.194326803	0.207110947	0.156004273	0.304347826	0.10571854	0.125674459	0.666666667	0.311545055	0.21066621	0.419378851	0.223275809	0.085687183	0.105425445	0.324371682	0.183209359	0.17327863	0.144654628	0.315501255	0.103178356	0.72972973	0.233887929	0.339669456	0.285622527	0.389277101	0.478833685	0.259104737	0.099827325
DQ866110	0.47761194	0.209332773	0.55	0.162750882	0.409217195	0.52238806	0.378888932	0.45	0.1792479	0.273548665	0.175007399	0.197710886	0.150356477	0.304347826	0.095130137	0.139470567	0.657142857	0.327034606	0.222162812	0.38880228	0.221722112	0.073307848	0.094092893	0.338722546	0.194537455	0.183678856	0.145875954	0.305035064	0.11459984	0.75	0.237790462	0.344946774	0.306931855	0.375063708	0.496060443	0.248806962	0.102177956
DQ866112	0.447761194	0.198525968	0.5625	0.134769958	0.420257693	0.552238806	0.411182264	0.4375	0.185314994	0.265928349	0.194277064	0.207081739	0.158257713	0.304347826	0.105722435	0.117396528	0.657142857	0.304077914	0.212481253	0.403495124	0.223584138	0.085530122	0.094303354	0.340085977	0.18469237	0.173159899	0.163857021	0.332171255	0.103210074	0.72972973	0.227303299	0.34494395	0.28958393	0.372626962	0.494496899	0.251574901	0.101030736
DQ866116	0.492537313	0.211445614	0.525	0.152067865	0.409408581	0.507462687	0.378165529	0.475	0.17925608	0.273542991	0.180468887	0.209550961	0.150397084	0.304347826	0.095128833	0.135841539	0.657142857	0.315185653	0.219116952	0.367405928	0.224112296	0.08573693	0.105908282	0.359855028	0.185734248	0.171296296	0.145891038	0.305024366	0.106786413	0.75	0.229337593	0.345092887	0.307040307	0.381883608	0.496060443	0.2572327	0.105258005
DQ866119	0.447761194	0.199322338	0.5625	0.134793733	0.420229383	0.552238806	0.387731208	0.4375	0.194319744	0.258657237	0.191311345	0.207103585	0.158457188	0.304347826	0.105719522	0.133227657	0.657142857	0.311516998	0.209814336	0.419357833	0.223301156	0.08169686	0.094319475	0.324443207	0.184693957	0.17722668	0.154692266	0.318618925	0.103522258	0.72972973	0.235819951	0.345355848	0.289509324	0.37955784	0.494707455	0.25158286	0.104132701
EU086182	0.462686567	0.208248979	0.575	0.13482619	0.409877268	0.537313433	0.382978354	0.425	0.217512108	0.273568611	0.183010489	0.202104994	0.146906988	0.304347826	0.095134721	0.139950502	0.628571429	0.322671703	0.226240105	0.410388238	0.227667473	0.085874795	0.094353889	0.317562468	0.180794418	0.171359324	0.137324693	0.318644542	0.10460631	0.75	0.240003761	0.345297656	0.289435657	0.378598357	0.516245487	0.247701131	0.10170394
EU086183	0.462686567	0.209249245	0.556962025	0.134858465	0.402677925	0.537313433	0.38685596	0.443037975	0.219076375	0.270379752	0.18308055	0.218804915	0.185295251	0.304347826	0.094024573	0.136907115	0.685714286	0.311545055	0.18048475	0.410398978	0.221682757	0.084972069	0.09438806	0.317527515	0.182709229	0.169540531	0.136859749	0.332178514	0.104005707	0.756756757	0.223212525	0.34523966	0.289362034	0.377323357	0.471797493	0.256303594	0.10807958
EU159386	0.462686567	0.208248979	0.575	0.13482619	0.409877268	0.537313433	0.382978354	0.425	0.217512108	0.273568611	0.183010489	0.202104994	0.146906988	0.304347826	0.095134721	0.139950502	0.628571429	0.322671703	0.226240105	0.410388238	0.227667473	0.085874795	0.094353889	0.317562468	0.180794418	0.171359324	0.137324693	0.318644542	0.10460631	0.75	0.240003761	0.345297656	0.289435657	0.378598357	0.516245487	0.247701131	0.10170394
EU828653	0.507462687	0.221062967	0.543209877	0.164469303	0.409175172	0.492537313	0.372954143	0.456790123	0.181235001	0.277935173	0.175665975	0.197705748	0.15593051	0.304347826	0.102577563	0.143037073	0.685714286	0.31518207	0.218898161	0.419252616	0.213909724	0.07788304	0.095280128	0.324381082	0.191259207	0.172730229	0.142717946	0.305126054	0.111664586	0.75	0.238170551	0.348047608	0.306803377	0.374921213	0.473099904	0.249014714	0.0932178
FJ561726	0.5	0.210013478	0.55	0.162686929	0.42008463	0.5	0.365690106	0.45	0.189524517	0.26300671	0.175785176	0.195413279	0.151065829	0.304347826	0.101390147	0.14242573	0.657142857	0.323233127	0.22246729	0.39740512	0.224687189	0.077274205	0.090430772	0.346056901	0.199385749	0.181679378	0.134492605	0.306235515	0.110443121	0.72972973	0.237031474	0.343612439	0.299460612	0.37777076	0.495712284	0.249865046	0.102088177
FJ561727	0.492537313	0.210178846	0.55	0.156222736	0.416411843	0.507462687	0.365720526	0.45	0.198818032	0.264154281	0.175882114	0.196265767	0.174016407	0.272727273	0.109232546	0.143126953	0.657142857	0.32464302	0.197450574	0.395075907	0.22871335	0.078324475	0.096056642	0.344005951	0.201349897	0.170999039	0.142977749	0.304078518	0.106696718	0.75	0.23767982	0.347203153	0.299027928	0.375179504	0.495261909	0.250450756	0.103186533
FJ561728	0.492537313	0.210102068	0.5625	0.162443457	0.4108803	0.507462687	0.331228559	0.4375	0.189169644	0.266075271	0.169379896	0.197694767	0.150490732	0.304347826	0.102570756	0.157073628	0.657142857	0.32700903	0.22736181	0.352142007	0.224254989	0.077546604	0.093333057	0.375244764	0.23012216	0.179889057	0.134815364	0.282220926	0.113588524	0.75	0.238667099	0.347693864	0.31703713	0.372084796	0.495158357	0.253514195	0.097049621
