Reference,Name,Length,CAI,%G+C,%G+C(1),%G+C(2),%G+C(3),Nc
Vulpes lagopus,AY352488,1353,0.768,46,47.7,39.5,50.8,54.3
Vulpes lagopus,AY352501,1353,0.766,44.9,47.7,39.5,47.7,53.6
Vulpes lagopus,JN258588,1353,0.76,44.9,47.9,39.5,47.5,53.2
Vulpes lagopus,JN258592,1353,0.768,46,47.9,39.5,50.8,54.1
Vulpes lagopus,JX987747,1353,0.767,45.9,47.7,39.5,50.6,54.4
Vulpes lagopus,KU198460,1353,0.767,45.8,47.7,39.5,50.3,54.4
Vulpes lagopus,KU198462,1353,0.767,45.8,48.1,39.2,50.1,55.4
Vulpes lagopus,KU198464,1353,0.77,45.9,47.5,39.5,50.8,54.3
Vulpes lagopus,KU198466,1353,0.762,44.9,47.9,39.5,47.2,53.5
Vulpes lagopus,KU198467,1353,0.761,45,47.9,39.5,47.7,53.6
Vulpes lagopus,KU198472,1353,0.76,45,47.9,39.7,47.5,53.8
Vulpes lagopus,KU198476,1353,0.76,45.1,47.9,39.5,47.9,53.3
Vulpes lagopus,KU198477,1353,0.761,45,47.9,39.5,47.7,53.8
Vulpes lagopus,KU198478,1353,0.767,44.8,47.7,39.5,47.2,54.3
Vulpes lagopus,KX036361,1353,0.765,44.9,47.7,39.5,47.5,53.2
Vulpes lagopus,KX036362,1353,0.764,44.9,47.7,39.5,47.7,53.4
Vulpes lagopus,KX036364,1353,0.764,44.7,47.7,39.5,47,53.4
Vulpes lagopus,KX036365,1353,0.763,44.9,48.1,39.5,47,53.3
Vulpes lagopus,KX036366,1353,0.762,45,47.7,39.5,47.9,53.6
Vulpes lagopus,KX954123,1353,0.775,46,47.7,39.5,50.8,53.9
Vulpes lagopus,LT598537,1353,0.764,45.2,47.7,39.5,48.3,54
Vulpes lagopus,LT598538,1353,0.76,44.9,47.9,39.5,47.5,53.8
Vulpes lagopus,LT598539,1353,0.758,45.1,47.9,39.7,47.7,53.7
Vulpes lagopus,LT598540,1353,0.76,45,47.9,39.5,47.7,53.3
Vulpes lagopus,LT598541,1353,0.762,45.1,47.9,39.5,47.9,53.7
Vulpes lagopus,LT598543,1353,0.764,44.8,47.7,39.2,47.5,53.3
Vulpes lagopus,LT909550,1353,0.767,45.9,47.7,39.5,50.6,54.3
Vulpes lagopus,MG458313,1353,0.768,45.9,47.7,39.5,50.6,54.2
Vulpes lagopus,MN233885,1353,0.766,45,47.9,39.5,47.7,54.2
Vulpes lagopus,MN233886,1353,0.765,45,47.9,39.5,47.7,54.3
Vulpes lagopus,MN233892,1353,0.763,45,47.9,39.5,47.7,53.6
Vulpes lagopus,MN233896,1353,0.761,44.9,47.9,39.5,47.5,53.7
Vulpes lagopus,MN233900,1353,0.76,44.9,47.9,39.5,47.2,53.3
Vulpes lagopus,MN233948,1353,0.76,44.9,47.9,39.5,47.5,53.5
Vulpes lagopus,MN233949,1353,0.764,44.9,47.7,39.5,47.7,53.2
Vulpes lagopus,MN233950,1353,0.764,45,47.7,39.5,47.9,53.2
Vulpes lagopus,MN233952,1353,0.764,44.9,47.7,39.7,47.2,53.7
Vulpes lagopus,MN233953,1353,0.765,44.9,47.5,39.5,47.9,53.2
Vulpes lagopus,MN233955,1353,0.764,44.9,47.5,39.5,47.9,53.4
