sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AF351826	AL_RAC-SK	RAC-SK	-	-	-	-	-	2001	1353	24-Apr-2001	29-Jan-2009	Procyon lotor	11226582	ONTRAC; 99RABN3306
DQ886039	AL_RAC-SK	RAC-SK	USA	United States	Ohio, Mahoning county	1997	1997	1997	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 3372
DQ886041	AL_RAC-SK	RAC-SK	USA	United States	New York, Westchester county	2003	2003	2003	1447	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033756NYrac1584
DQ886042	AL_RAC-SK	RAC-SK	USA	United States	New York, Cayuga county	-	-	2007	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033758NYrac1614
DQ886043	AL_RAC-SK	RAC-SK	USA	United States	New York, Otsego county	2003	2003	2003	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033759NYrac1642
DQ886044	AL_RAC-SK	RAC-SK	USA	United States	New York, Genesee county	2003	2003	2003	1447	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033767NYrac1847
DQ886045	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Bedford county	2004	2004	2004	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A047693PArac6301
DQ886047	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Mifflin county	-	-	2007	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A047672PArac1719
DQ886048	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Westmoreland county	-	-	2007	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A047698PArac6966
DQ886049	AL_RAC-SK	RAC-SK	USA	United States	Delaware, New Castle county	1987	1987	1987	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 614
