sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AF483524	AL_RAC-SK	RAC-SK	USA	United States	Arizona, Sierra Vista	-	-	2002	1414	21-Mar-2002	21-Mar-2002	skunk	-	5422
EU345002	AL_RAC-SK	RAC-SK	USA	United States	Texas	-	-	2008	1460	12-Jan-2008	12-Jan-2008	skunk	-	V211
EU345003	AL_RAC-SK	RAC-SK	USA	United States	Texas	-	-	2008	1450	12-Jan-2008	12-Jan-2008	skunk	-	V212
EU345004	AL_RAC-SK	RAC-SK	USA	United States	Texas	-	-	2008	1459	12-Jan-2008	12-Jan-2008	skunk	-	V216
JQ513553	AL_RAC-SK	RAC-SK	MEX	Mexico	San Luis Potosi	2002	2002	2002	1353	01-Jan-2013	02-May-2013	skunk	23524137	V854
JQ685938	AL_RAC-SK	RAC-SK	USA	United States	-	2009	2009	2009	11923	10-Jul-2012	10-Jul-2012	Mephitis mephitis	22737076	A10-0514
JQ685968	AL_RAC-SK	RAC-SK	USA	United States	-	2009	2009	2009	11923	10-Jul-2012	10-Jul-2012	Mephitis mephitis	22737076	A10-0512
KY026415	AL_RAC-SK	RAC-SK	CAN	Canada	-	2014	2014	2014	11924	08-Mar-2017	08-Mar-2017	skunk	28219746	NB.2014.0941
KY026418	AL_RAC-SK	RAC-SK	USA	United States	-	1998	1998	1998	11923	08-Mar-2017	08-Mar-2017	skunk	28219746	NY.1998.9581
KY026419	AL_RAC-SK	RAC-SK	USA	United States	-	2004	2004	2004	11924	08-Mar-2017	08-Mar-2017	skunk	28219746	NY.2004.0953
KY026450	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	skunk	28219746	ON.2001.1895
KY026479	AL_RAC-SK	RAC-SK	USA	United States	-	2006	2006	2006	11924	08-Mar-2017	08-Mar-2017	skunk	28219746	VT.2006.0259
KY026483	AL_RAC-SK	RAC-SK	USA	United States	-	2011	2011	2011	11923	08-Mar-2017	08-Mar-2017	skunk	28219746	VT.2011.0122
MF143191	AL_RAC-SK	RAC-SK	USA	United States	China, Kennebec, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0002
MF143194	AL_RAC-SK	RAC-SK	USA	United States	Milford, Penobscot, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0052
MF143197	AL_RAC-SK	RAC-SK	USA	United States	Eliot, York, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0098
MF143198	AL_RAC-SK	RAC-SK	USA	United States	Windham, Cumberland, ME	2013	2013	2013	11925	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0101
MF143202	AL_RAC-SK	RAC-SK	USA	United States	Farmington, Franklin, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0113
MF143204	AL_RAC-SK	RAC-SK	USA	United States	Waldo, Waldo, ME	2013	2013	2013	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0158
MF143209	AL_RAC-SK	RAC-SK	USA	United States	Franklin, Hancock, ME	2013	2013	2013	11925	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0425
MF143210	AL_RAC-SK	RAC-SK	USA	United States	New Portland, Franklin, ME	2013	2013	2013	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0444
MF143211	AL_RAC-SK	RAC-SK	USA	United States	Sidney, Kennebec, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0491
MF143212	AL_RAC-SK	RAC-SK	USA	United States	Scarborough, Cumberland, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2013.0498
MF143214	AL_RAC-SK	RAC-SK	USA	United States	Old Town, Penobscot, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2014.0079
MF143216	AL_RAC-SK	RAC-SK	USA	United States	Cornville, Somerset, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	ME.2014.0090
MF143223	AL_RAC-SK	RAC-SK	CAN	Canada	Heathland, Charlotte, NB	2000	2000	2000	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	NB.2000.4394
MF143224	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2000	2000	2000	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	NB.2000.5443
MF143226	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2000	2000	2000	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	NB.2000.5733
MF143229	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2001	2001	2001	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	NB.2001.0006
MF143251	AL_RAC-SK	RAC-SK	CAN	Canada	Bocabec, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	skunk	28820138	NB.2015.0774
MF143271	AL_RAC-SK	RAC-SK	CAN	Canada	Cowansville, Brome-Missisquoi, QC	2007	2007	2007	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	QC.2007.6234
MF143275	AL_RAC-SK	RAC-SK	CAN	Canada	Henryville, Le Haut-Richelieu, QC	2008	2008	2008	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	QC.2008.5337
MF143276	AL_RAC-SK	RAC-SK	CAN	Canada	Clarenceville, Le Haut-Richelieu, QC	2009	2009	2009	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	QC.2009.0709
MF143280	AL_RAC-SK	RAC-SK	USA	United States	Panton, Addison, VT	2006	2006	2006	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	VT.2006.0178
MF143281	AL_RAC-SK	RAC-SK	USA	United States	Middlebury, Addison, VT	2006	2006	2006	11923	12-Sep-2017	08-Jun-2021	skunk	28820138	VT.2006.0332
