sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
FJ598135	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2008	2008	2008	1353	01-Feb-2009	01-Feb-2009	Melogale moschata (Chinese Ferret badger)	-	ZJ-LA
FJ712195	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2008	2008	2008	11923	16-Mar-2009	16-Mar-2009	Chinese ferret badger	-	F02
FJ712196	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2008	2008	2008	11923	16-Mar-2009	16-Mar-2009	Chinese ferret badger	-	F04
GU647092	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2008	2008	2008	11922	07-Mar-2010	07-Mar-2010	Melogale moschata (Chinese ferret badger)	-	JX08-45
KF726852	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	11922	12-Apr-2014	17-Sep-2014	Melogale moschata (ferret badger)	24643334	JX09-18
KP319184	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-18
KP319185	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-55
KP319186	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-41
KP319187	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-08
KP319188	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-01
KP319189	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-14
KP319190	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-24
KP319191	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-39
KP319192	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2009	2009	2009	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX09-42
KP319193	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2011	2011	2011	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX11-05
