Name,Canis_familiaris,Desmodus_rotundus,Eptesicus_fuscus
DQ666289,0.755,0.726,0.725
DQ666290,0.756,0.727,0.726
DQ866105,0.756,0.727,0.727
DQ866106,0.757,0.728,0.727
DQ866108,0.754,0.725,0.724
DQ866109,0.753,0.724,0.723
DQ866110,0.754,0.724,0.723
DQ866112,0.754,0.725,0.724
DQ866116,0.754,0.724,0.723
DQ866119,0.755,0.726,0.725
EU086182,0.756,0.727,0.726
EU086183,0.755,0.725,0.724
EU159386,0.756,0.727,0.726
EU828653,0.75,0.721,0.719
FJ561726,0.75,0.721,0.72
FJ561727,0.751,0.722,0.721
FJ561728,0.753,0.725,0.723
FJ866829,0.75,0.722,0.721
FJ866830,0.75,0.721,0.72
FJ866831,0.753,0.724,0.723
GQ472468,0.755,0.726,0.726
GQ472470,0.758,0.729,0.728
GQ472473,0.756,0.727,0.726
GQ472477,0.754,0.725,0.724
GU358653,0.755,0.727,0.725
HM486355,0.754,0.724,0.725
HM486356,0.754,0.724,0.725
HM486357,0.754,0.724,0.725
HM486358,0.754,0.724,0.725
HM486359,0.754,0.724,0.725
HM486361,0.754,0.724,0.725
HM486362,0.754,0.724,0.725
HM486364,0.754,0.724,0.725
HM486365,0.754,0.724,0.725
HM486366,0.754,0.724,0.725
HM486367,0.754,0.724,0.725
HM486368,0.755,0.726,0.725
HM486369,0.754,0.724,0.725
HM486370,0.754,0.724,0.725
HM486371,0.754,0.724,0.725
HM486372,0.754,0.724,0.725
HM486373,0.754,0.724,0.725
HM486374,0.754,0.724,0.724
HM486375,0.754,0.724,0.724
HM486379,0.754,0.724,0.725
HM486380,0.754,0.724,0.725
HM486381,0.752,0.723,0.721
JF819605,0.751,0.721,0.721
JF819615,0.754,0.724,0.725
JF819622,0.754,0.724,0.725
JN974823,0.756,0.727,0.726
JN974824,0.754,0.725,0.723
JN974828,0.756,0.727,0.727
JN974829,0.757,0.728,0.727
JN974838,0.751,0.722,0.721
JN974842,0.757,0.728,0.727
JN974845,0.759,0.73,0.729
JN974854,0.754,0.724,0.725
JN974870,0.754,0.723,0.724
JN974871,0.756,0.726,0.726
JN974872,0.754,0.724,0.724
JN974873,0.753,0.723,0.723
JQ970480,0.761,0.733,0.731
KT221107,0.758,0.729,0.728
KT894558,0.76,0.731,0.73
KT894572,0.757,0.728,0.727
KT894573,0.759,0.729,0.728
KT894577,0.754,0.725,0.724
KT894578,0.754,0.725,0.725
KX148264,0.756,0.727,0.726
KY451767,0.756,0.728,0.727
MG201879,0.755,0.726,0.726
MG201880,0.754,0.725,0.724
MG201884,0.756,0.727,0.726
MG201919,0.756,0.728,0.727
MG201921,0.761,0.732,0.731
FJ598135,0.761,0.731,0.73
FJ712195,0.767,0.737,0.736
FJ712196,0.763,0.733,0.731
GU647092,0.761,0.731,0.73
KF726852,0.761,0.732,0.73
KP319184,0.761,0.732,0.73
KP319185,0.763,0.733,0.732
KP319186,0.759,0.73,0.729
KP319187,0.764,0.733,0.732
KP319188,0.76,0.731,0.73
KP319189,0.764,0.733,0.732
KP319190,0.761,0.73,0.73
KP319191,0.761,0.731,0.73
KP319192,0.761,0.731,0.73
KP319193,0.762,0.732,0.731
KP319194,0.759,0.73,0.728
KP319195,0.76,0.731,0.73
KP319196,0.762,0.732,0.731
KP319197,0.762,0.732,0.731
KP319198,0.762,0.732,0.731
KP319199,0.759,0.729,0.728
KP319200,0.762,0.732,0.731
KP319201,0.758,0.729,0.727
KP319202,0.762,0.732,0.731
KP319203,0.763,0.733,0.732
KP319204,0.763,0.733,0.732
KP319205,0.76,0.73,0.729
KP319206,0.77,0.74,0.739
KP319207,0.768,0.738,0.738
KP319208,0.762,0.732,0.731
KP319209,0.762,0.732,0.731
KP319210,0.762,0.732,0.731
KP319211,0.762,0.732,0.731
KP319212,0.763,0.733,0.732
KP319213,0.762,0.732,0.731
AB519642,0.782,0.749,0.749
AF070449,0.782,0.75,0.75
AF351847,0.778,0.745,0.745
AF351852,0.779,0.746,0.747
AY854587,0.782,0.749,0.75
AY854592,0.783,0.75,0.751
AY854594,0.785,0.753,0.754
AY877433,0.785,0.753,0.755
AY877434,0.78,0.747,0.747
AY877435,0.783,0.75,0.751
GU592648,0.785,0.752,0.752
KF656696,0.79,0.757,0.757
KF656697,0.79,0.757,0.757
KF864234,0.783,0.751,0.751
KF864322,0.779,0.747,0.747
KF864397,0.773,0.74,0.741
KM594040,0.779,0.746,0.748
KM594041,0.79,0.758,0.757
KM594042,0.782,0.749,0.751
KP202393,0.781,0.747,0.748
KT023101,0.789,0.756,0.755
KU523255,0.789,0.756,0.755
MN968374,0.785,0.752,0.754
MN968375,0.785,0.752,0.754
MN968376,0.785,0.752,0.754
MN968377,0.785,0.752,0.753
MN968378,0.785,0.752,0.753
